id,model,cp,qty,price,delta,gamma,vega,vega_1pct,theta,theta_1day,rho,mode,receipt_sha256
DSWEEP_BS_C_0_p,bs,C,1.00000000000000000e0,6.73091764916330249e0,4.99999992863029707e-1,2.09698244254182646e-2,3.79485635795257252e1,3.79485635795257237e-1,-5.01977294486205672e0,-1.37528025886631683e-2,4.08305528969827876e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_0_p,black76,C,1.00000000000000000e0,6.73091764916329272e0,4.85222753570596077e-1,1.97486369193476119e-2,3.79485635795257039e1,3.79485635795257015e-1,-3.59292882847767192e0,-9.84364062596622402e-3,-6.73091764916329272e0,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_0_n,bs,P,1.00000000000000000e0,8.65252855394270881e0,-5.00000007136970348e-1,2.09698244254182646e-2,3.79485635795257252e1,3.79485635795257237e-1,-2.10843634421653192e0,-5.77653792936036123e-3,-5.62140004578680319e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_0_n,black76,P,1.00000000000000000e0,8.65252855394270171e0,-4.85222779977912133e-1,1.97486369193476119e-2,3.79485635795257039e1,3.79485635795257015e-1,-3.53528050133428939e0,-9.68570000365558820e-3,-8.65252855394270171e0,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_0p25_p,bs,C,1.00000000000000000e0,9.41340338385301578e0,5.98706325682923701e-1,1.93334058401424605e-2,3.86668116802849156e1,3.86668116802849182e-1,-5.38039804356167295e0,-1.47408165577032138e-2,5.04572291844393561e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_0p25_p,black76,C,1.00000000000000000e0,9.41340338385302999e0,5.81011879666232023e-1,1.82075159336367483e-2,3.86668116802849227e1,3.86668116802849238e-1,-3.58427906651290140e0,-9.81994264798055107e-3,-9.41340338385302999e0,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_0p25_n,bs,P,1.00000000000000000e0,1.12003681777123631e1,-5.98706327866418864e-1,2.13667178517151432e-2,3.49871779950789872e1,3.49871779950789885e-1,-1.53751109057120505e0,-4.21235915224987649e-3,-6.53735569645564709e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_0p25_n,black76,P,1.00000000000000000e0,1.12003681777123667e1,-5.81011883950953489e-1,2.01224170428118271e-2,3.49871779445954871e1,3.49871779445954878e-1,-3.16270674912817773e0,-8.66494999761144649e-3,-1.12003681777123667e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_0p5_p,bs,C,1.00000000000000000e0,1.27265119974520360e1,6.91462461274013229e-1,1.67447449082053536e-2,3.70116102062876848e1,3.70116102062876873e-1,-5.50010916000439565e0,-1.50687922191901254e-2,5.99649379791875674e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_0p5_p,black76,C,1.00000000000000000e0,1.27265119974520324e1,6.71026657159824569e-1,1.57696068784632382e-2,3.70116102062876706e1,3.70116102062876706e-1,-3.31936566070520600e0,-9.09415249508275549e-3,-1.27265119974520324e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_0p5_n,bs,P,1.00000000000000000e0,1.40485732150496716e1,-6.91462461835345210e-1,2.04520775992661115e-2,3.03025434726654801e1,3.03025434726654774e-1,-8.23355381914492312e-1,-2.25576816962874595e-3,-7.35632988450685446e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_0p5_n,black76,P,1.00000000000000000e0,1.40485732150496663e1,-6.71026658340104887e-1,1.92610413031875233e-2,3.03025434444818842e1,3.03025434444818831e-1,-2.60879714799669848e0,-7.14738944656629748e-3,-1.40485732150496663e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_0p75_p,bs,C,1.00000000000000000e0,1.66818043032876062e1,7.73372647623131959e-1,1.36240208122537596e-2,3.32808331946365996e1,3.32808331946365998e-1,-5.39175606732978530e0,-1.47719344310405076e-2,6.87890915955374993e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_0p75_p,black76,C,1.00000000000000000e0,1.66818043032875778e1,7.50516031654452354e-1,1.28306196057942686e-2,3.32808331946366209e1,3.32808331946366220e-1,-2.82762919036503479e0,-7.74692928867132778e-3,-1.66818043032875778e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_0p75_n,bs,P,1.00000000000000000e0,1.71260909587933199e1,-7.73372647741897623e-1,1.83905044825797316e-2,2.46550476227629574e1,2.46550476227629572e-1,-5.21701226255868455e-2,-1.42931842809826978e-4,-8.04444879883569826e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_0p75_n,black76,P,1.00000000000000000e0,1.71260909587933199e1,-7.50516031925565263e-1,1.73195248694880677e-2,2.46550476129011287e1,2.46550476129011292e-1,-1.95172203252631338e0,-5.34718365075702307e-3,-1.71260909587933199e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_1p0_p,bs,C,1.00000000000000000e0,2.12651727686853320e1,8.41344746068542815e-1,1.04133066323274532e-2,2.81129873472736413e1,2.81129873472736436e-1,-5.10585295943269912e0,-1.39886382450210931e-2,7.64851408235111734e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_1p0_p,black76,C,1.00000000000000000e0,2.12651727686853178e1,8.16479250996721140e-1,9.80688286366362787e-3,2.81129873472736413e1,2.81129873472736436e-1,-2.17334355166680471e0,-5.95436589497754746e-3,-2.12651727686853178e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_1p0_n,bs,P,1.00000000000000000e0,2.03536738963757955e1,-8.41344746088664053e-1,1.55348280169259317e-2,1.88446989712567792e1,1.88446989712567792e-1,6.91860161026187637e-1,1.89550729048270587e-3,-8.58776686050621834e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_1p0_n,black76,P,1.00000000000000000e0,2.03536738963758097e1,-8.16479251047462440e-1,1.46301500597269679e-2,1.88446989687517288e1,1.88446989687517275e-1,-1.27385967998389882e0,-3.49002652050383255e-3,-2.03536738963758097e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_1p5_p,bs,C,1.00000000000000000e0,3.21737336603682706e1,9.33192798731139583e-1,5.04342024415086517e-3,1.66303884672223283e1,1.66303884672223290e-1,-4.29255665363343830e0,-1.17604291880368181e-2,8.76505935637068490e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_1p5_p,black76,C,1.00000000000000000e0,3.21737336603682706e1,9.05612783468256577e-1,4.74971431390264383e-3,1.66303884672242468e1,1.66303884672242469e-1,-6.97826836911376813e-1,-1.91185434770240218e-3,-3.21737336603682706e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_1p5_n,bs,P,1.00000000000000000e0,2.69587328586849537e1,-9.33192798731393491e-1,9.18971084511035693e-3,9.12695070354867255e0,9.12695070354867244e-2,1.86889646743753723e0,5.12026429434941747e-3,-9.27197179264134945e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_1p5_n,black76,P,1.00000000000000000e0,2.69587328586849502e1,-9.05612783469108562e-1,8.65454374775793088e-3,9.12695070348377513e0,9.12695070348377574e-2,-1.03933084587829128e-1,-2.84748176952956498e-4,-2.69587328586849502e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_1p9_p,bs,C,1.00000000000000000e0,4.23827129736640416e1,9.71283440183926761e-1,2.35863832502873974e-3,9.12695070178490475e0,9.12695070178490414e-2,-3.69428660797006447e0,-1.01213331725207249e-2,9.27197179263858118e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_1p9_p,black76,C,1.00000000000000000e0,4.23827129736639918e1,9.42577676335939696e-1,2.22128192207664884e-3,9.12695070183431056e0,9.12695070183431045e-2,3.58786319026488609e-1,9.82976216510927665e-4,-4.23827129736639918e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_1p9_n,bs,P,1.00000000000000000e0,3.21280375010049610e1,-9.71283440184000590e-1,5.04342024315057244e-3,4.26836842419016627e0,4.26836842419016649e-2,2.43249041679266043e0,6.66435730628126173e-3,-9.53109086403892434e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_1p9_n,black76,P,1.00000000000000000e0,3.21280375010049468e1,-9.42577676336202708e-1,4.74971431295870185e-3,4.26836842418894946e0,4.26836842418894941e-2,5.37004282611253436e-1,1.47124460989384509e-3,-3.21280375010049468e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_2p05_p,bs,C,1.00000000000000000e0,4.65162516493571587e1,9.79817784594103403e-1,1.70205181320943642e-3,6.99350354258822549e0,6.99350354258822526e-2,-3.51706775948233430e0,-9.63580208077351869e-3,9.39239135074503935e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_2p05_p,black76,C,1.00000000000000000e0,4.65162516493571587e1,9.50859792750322619e-1,1.60293203203250192e-3,6.99350354271515506e0,6.99350354271515567e-2,6.96137195209199033e-1,1.90722519235397001e-3,-4.65162516493571587e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_2p05_n,bs,P,1.00000000000000000e0,3.40039405671960395e1,-9.79817784594296026e-1,3.86450836533248996e-3,3.08016033603077455e0,3.08016033603077458e-2,2.56773101238642498e0,7.03487948599020550e-3,-9.58582348663167494e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_2p05_n,black76,P,1.00000000000000000e0,3.40039405671960537e1,-9.50859792750930133e-1,3.63945691820954324e-3,3.08016033603057426e0,3.08016033603057439e-2,7.12102183412824052e-1,1.95096488606253163e-3,-3.40039405671960537e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_2p12_p,bs,C,1.00000000000000000e0,4.84995393549965712e1,9.82996977352075918e-1,1.45046540256551061e-3,6.12900029588614004e0,6.12900029588614031e-2,-3.44438172504282303e0,-9.43666226039129551e-3,9.43827231818069805e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_2p12_p,black76,C,1.00000000000000000e0,4.84995393549965712e1,9.53945026162410059e-1,1.36599687336937071e-3,6.12900029607536201e0,6.12900029607536187e-2,8.42086151042360953e-1,2.30708534532153694e-3,-4.84995393549965712e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_2p12_n,bs,P,1.00000000000000000e0,3.48652929114257972e1,-9.82996977352367240e-1,3.38679644189555928e-3,2.62487073957725681e0,2.62487073957725671e-2,2.61923995634693574e0,7.17599988040256397e-3,-9.60575676768220603e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_2p12_n,black76,P,1.00000000000000000e0,3.48652929114257901e1,-9.53945026163289467e-1,3.18956477144647288e-3,2.62487073957718131e0,2.62487073957718142e-2,7.83471713385055502e-1,2.14649784489056314e-3,-3.48652929114257901e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_2p13_p,bs,C,1.00000000000000000e0,4.87856507751182562e1,9.83414193316879182e-1,1.41713109483528705e-3,6.01214537709290120e0,6.01214537709290134e-2,-3.43451736395426233e0,-9.40963661357332136e-3,9.44434275414990907e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_2p13_p,black76,C,1.00000000000000000e0,4.87856507751182420e1,9.54349911531949147e-1,1.33460380459967027e-3,6.01214537729282572e0,6.01214537729282544e-2,8.62354985524264706e-1,2.36261639869661576e-3,-4.87856507751182420e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_2p13_n,bs,P,1.00000000000000000e0,3.49875811871909193e1,-9.83414193317187824e-1,3.32222411295010536e-3,2.56454648169762844e0,2.56454648169762850e-2,2.62605076614140831e0,7.19465963326413206e-3,-9.60835138103723807e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_2p13_n,black76,P,1.00000000000000000e0,3.49875811871909335e1,-9.54349911532874517e-1,3.12875284219471484e-3,2.56454648169755783e0,2.56454648169755772e-2,7.93172787445972194e-1,2.17307612998896482e-3,-3.49875811871909335e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_2p2_p,bs,C,1.00000000000000000e0,5.08077899449494197e1,9.86096552570546070e-1,1.20091584056342842e-3,5.23952919877315804e0,5.23952919877315806e-2,-3.36905622871057986e0,-9.23029103756323188e-3,9.48367769611088107e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_2p2_p,black76,C,1.00000000000000000e0,5.08077899449494126e1,9.56952995088802272e-1,1.13097994652473104e-3,5.23952919906306480e0,5.23952919906306505e-2,1.00028077844217567e0,2.74049528340322094e-3,-5.08077899449494126e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_2p2_n,bs,P,1.00000000000000000e0,3.58381496105129216e1,-9.86096552570999929e-1,2.89528764736464482e-3,2.17326717684661608e0,2.17326717684661608e-2,2.67014409658849150e0,7.31546327832463452e-3,-9.62490271424384360e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_2p2_n,black76,P,1.00000000000000000e0,3.58381496105129074e1,-9.56952995090108782e-1,2.72667922081256797e-3,2.17326717684658988e0,2.17326717684658971e-2,8.57817770630728171e-1,2.35018567296089911e-3,-3.58381496105129074e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_2p5_p,bs,C,1.00000000000000000e0,5.98535122847669214e1,9.93790334693082977e-1,5.58826890523308095e-4,2.74898471705858594e0,2.74898471705858592e-2,-3.15501357832739737e0,-8.64387281733533519e-3,9.60038368873846224e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_2p5_p,black76,C,1.00000000000000000e0,5.98535122847669143e1,9.64419391583818286e-1,5.26283346121579859e-4,2.74898471817409629e0,2.74898471817409638e-2,1.52070689672559767e0,4.16632026500163722e-3,-5.98535122847669143e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_2p5_n,bs,P,1.00000000000000000e0,3.93713879146335373e1,-9.93790334694906519e-1,1.51904898136868364e-3,1.01129496123731522e0,1.01129496123731517e-2,2.80011357679583428e0,7.67154404601598418e-3,-9.67081024306522039e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_2p5_n,black76,P,1.00000000000000000e0,3.93713879146335231e1,-9.64419391588349106e-1,1.43058645543030975e-3,1.01129496123731744e0,1.01129496123731743e-2,1.08001214131527390e0,2.95893737346650384e-3,-3.93713879146335231e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_3p0_p,bs,C,1.00000000000000000e0,7.62947384312435872e1,9.98650101968221349e-1,1.27847704990072069e-4,7.68151463141402702e-1,7.68151463141402736e-3,-2.98071290246683684e0,-8.16633671908722353e-3,9.67965918717565614e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_3p0_p,black76,C,1.00000000000000000e0,7.62947384312436299e1,9.69135531023418650e-1,1.20402435049585512e-4,7.68151468180180874e-1,7.68151468180180898e-3,2.21202700611929082e0,6.06034796197066003e-3,-7.62947384312436299e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_3p0_n,bs,P,1.00000000000000000e0,4.48437635407397153e1,-9.98650101976686355e-1,4.24469326438318723e-4,2.31362773244349146e-1,2.31362773244349167e-3,2.88619983349441744e0,7.90739680409429518e-3,-9.69778703606284154e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_3p0_n,black76,P,1.00000000000000000e0,4.48437635407397082e1,-9.69135531041037446e-1,3.99750157234004828e-4,2.31362773244350034e-1,2.31362773244350034e-3,1.32217662889775611e0,3.62240172300755088e-3,-4.48437635407397082e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
