id,model,cp,qty,price,delta,gamma,vega,vega_1pct,theta,theta_1day,rho,mode,receipt_sha256
ATM_CALL,bs,C,1.00000000000000000e0,1.04505835721856215e1,6.36830651175619100e-1,1.87620173458467980e-2,3.75240346916936005e1,3.75240346916936029e-1,-6.41402754643817463e0,-1.75726782094196565e-2,5.32324815453762881e1,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
ATM_PUT,bs,P,1.00000000000000000e0,5.57352602225692806e0,-3.63169348824380900e-1,1.87620173458467980e-2,3.75240346916936005e1,3.75240346916936029e-1,-1.65788042393460966e0,-4.54213814776605398e-3,-4.18904609046950185e1,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
ITM_CALL,bs,C,2.00000000000000000e0,2.89339221683109713e1,1.52378100066963906e0,3.18359705284499556e-2,4.81519054242805566e1,4.81519054242805555e-1,-1.61984359932306177e1,-4.43792766937825128e-2,6.93409939526746655e1,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
OTM_PUT,bs,P,-1.00000000000000000e0,-1.17401480171823849e1,6.63767704083892074e-1,-2.29314347932164722e-2,-2.32180777281316821e1,-2.32180777281316808e-1,3.66014219049093903e0,1.00277868232628471e-2,3.57396206923663371e1,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
DIV_CALL,bs,C,1.00000000000000000e1,9.60970290466337218e1,6.82281709812185433e0,2.22129149726745134e-1,2.99874352131105923e2,2.99874352131105937e0,-4.57866752901110630e1,-1.25442946000304284e-1,4.39638510574163718e2,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
SHORT_CALL,bs,C,-5.00000000000000000e0,-2.36625533394804322e1,-2.19836144902815045e0,-1.25197520381274741e-1,-1.03522699665266543e2,-1.03522699665266549e0,7.24718897395836876e1,1.98553122574201879e-1,-5.17913497021188363e1,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
LONG_PUT,bs,P,3.00000000000000000e0,3.22244239104348082e1,-1.48074833656368199e0,5.12122476620421180e-2,1.27102397166230816e2,1.27102397166230818e0,-7.72710063294861715e0,-2.11701387204071695e-2,-2.16119394854980726e2,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
FWD_CALL,black76,C,1.00000000000000000e0,7.57708214642727196e0,5.13500122982492813e-1,1.88796471645324947e-2,3.77592943290649927e1,3.77592943290649907e-1,-3.39707532558513581e0,-9.30705568653461893e-3,-7.57708214642727196e0,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
FWD_PUT,black76,P,2.00000000000000000e0,4.03288059610222460e-1,-7.60173151503256844e-2,1.29774635843155160e-2,1.40156606710607576e1,1.40156606710607590e-1,-2.09831622006301100e0,-5.74881156181646872e-3,-2.01644029805111230e-1,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
MIX_OTM,bs,C,5.00000000000000000e-1,5.84301150924160240e0,2.44795457394043209e-1,4.93765548093581114e-3,2.21206965545924383e1,2.21206965545924394e-1,-2.56416208754851471e0,-7.02510160972195843e-3,2.74812501645637113e1,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
TOTAL_MIXED_DELTA,,,,1.51700165078438317e2,6.28719558486100283e0,2.31367213664223387e-1,4.97331598266324363e2,4.97331598266324360e0,-9.71164158978511871e0,-2.66072372322879967e-2,3.07852925291117799e2,gpu,4a21b1e708fa5c694bf48237df5e5bd3b94599e6273d07986283c6c6b8e3c97a
# NOTE: mixed: BS delta is d/dS, Black-76 delta is d/dF — do not add them as one risk
