t,W
1783750744.104033,232.042
1783750744.128923,232.042
1783750744.149069,232.042
1783750744.169223,232.042
1783750744.189369,245.145
1783750744.209517,245.145
1783750744.229670,245.145
1783750744.249814,245.145
1783750744.269967,245.145
1783750744.290111,244.823
1783750744.310257,244.823
1783750744.330400,244.823
1783750744.350548,244.823
1783750744.370693,244.823
1783750744.390885,245.359
1783750744.411041,245.359
1783750744.431183,245.359
1783750744.451326,245.359
1783750744.471474,245.359
1783750744.491629,245.083
1783750744.511774,245.083
1783750744.531916,245.083
1783750744.552059,245.083
1783750744.572215,245.083
1783750744.592357,245.494
1783750744.612501,245.494
1783750744.632648,245.494
1783750744.652796,245.494
1783750744.672937,245.494
1783750744.693082,246.048
1783750744.713223,246.048
1783750744.733367,246.048
1783750744.753516,246.048
1783750744.773668,246.048
1783750744.793810,245.799
1783750744.813923,245.799
1783750744.834063,245.799
1783750744.854207,245.799
1783750744.874318,245.799
1783750744.894458,247.612
1783750744.914579,247.612
1783750744.934721,247.612
1783750744.954908,247.612
1783750744.975053,247.612
1783750744.995202,248.103
1783750745.015342,248.103
1783750745.035483,248.103
1783750745.055631,248.103
1783750745.075786,248.103
1783750745.095927,248.044
1783750745.116071,248.044
1783750745.136212,248.044
1783750745.156363,248.044
1783750745.176509,248.044
1783750745.196657,248.462
1783750745.216804,248.462
1783750745.236989,248.462
1783750745.257143,248.462
1783750745.277287,248.462
1783750745.297428,249.042
1783750745.317570,249.042
1783750745.337712,249.042
1783750745.357897,249.042
1783750745.378038,249.042
1783750745.398176,248.235
1783750745.418300,248.235
1783750745.438444,248.235
1783750745.458590,248.235
1783750745.478789,248.235
1783750745.498941,248.389
1783750745.519086,248.389
1783750745.539229,248.389
1783750745.559375,248.389
1783750745.579530,248.389
1783750745.599675,248.190
1783750745.619818,248.190
1783750745.639962,248.190
1783750745.660131,248.190
1783750745.680273,247.961
1783750745.700421,247.961
1783750745.720568,247.961
1783750745.740721,247.961
1783750745.760930,247.961
1783750745.781077,247.566
1783750745.801222,247.566
1783750745.821399,247.566
1783750745.841550,247.566
1783750745.861700,247.566
1783750745.881896,247.165
1783750745.902039,247.165
1783750745.922190,247.165
1783750745.942335,247.165
1783750745.962450,247.165
1783750745.982597,246.787
1783750746.002795,246.787
1783750746.022941,246.787
1783750746.043084,246.787
1783750746.063229,246.787
1783750746.083386,246.440
1783750746.103549,246.440
1783750746.123693,246.440
1783750746.143901,246.440
1783750746.164053,246.440
1783750746.184193,246.881
1783750746.204371,246.881
1783750746.224515,246.881
1783750746.244667,246.881
1783750746.264818,246.881
1783750746.284960,247.063
1783750746.305102,247.063
1783750746.325248,247.063
1783750746.345398,247.063
1783750746.365549,247.063
1783750746.385690,246.771
1783750746.405882,246.771
1783750746.426014,246.771
1783750746.446117,246.771
1783750746.466218,246.771
1783750746.486305,247.235
1783750746.506436,247.235
1783750746.526617,247.235
1783750746.546760,247.235
1783750746.566904,247.235
1783750746.587060,247.230
1783750746.607179,247.230
1783750746.627322,247.230
1783750746.647470,247.230
1783750746.667621,247.230
1783750746.687765,247.259
1783750746.707941,247.259
1783750746.728086,247.259
1783750746.748242,247.259
1783750746.768397,247.259
1783750746.788542,246.499
1783750746.808683,246.499
1783750746.828825,246.499
1783750746.848979,246.499
1783750746.869129,246.499
1783750746.889268,246.666
1783750746.909413,246.666
1783750746.929559,246.666
1783750746.949707,246.666
1783750746.969903,246.666
1783750746.990039,246.538
1783750747.010189,246.538
1783750747.030332,246.538
1783750747.050478,246.538
1783750747.070625,246.538
1783750747.090772,246.782
1783750747.110951,246.782
1783750747.131093,246.782
1783750747.151237,246.782
1783750747.171388,246.782
1783750747.191528,246.606
1783750747.211675,246.606
1783750747.231819,246.606
1783750747.251969,246.606
1783750747.272120,246.606
1783750747.292266,246.470
1783750747.312408,246.470
1783750747.332552,246.470
1783750747.352715,246.470
1783750747.372911,246.470
1783750747.393053,247.012
1783750747.413230,247.012
1783750747.433374,247.012
1783750747.453523,247.012
1783750747.473672,247.012
1783750747.493812,247.230
1783750747.513956,247.230
1783750747.534094,247.230
1783750747.554239,247.230
1783750747.574381,247.230
1783750747.594534,247.178
1783750747.614678,247.178
1783750747.634819,247.178
1783750747.654962,247.178
1783750747.675087,247.178
1783750747.695227,245.954
1783750747.715371,245.954
1783750747.735512,245.954
1783750747.755665,245.954
1783750747.775809,245.954
1783750747.795990,246.938
1783750747.816130,246.938
1783750747.836273,246.938
1783750747.856432,246.938
1783750747.876579,246.938
1783750747.896721,247.027
1783750747.916944,247.027
1783750747.937089,247.027
1783750747.957240,247.027
1783750747.977386,247.027
1783750747.997527,246.237
1783750748.017675,246.237
1783750748.037815,246.237
1783750748.057926,246.237
1783750748.078029,246.237
1783750748.098131,246.674
1783750748.118261,246.674
1783750748.138409,246.674
1783750748.158557,246.674
1783750748.178714,246.674
1783750748.198906,246.971
1783750748.219050,246.971
1783750748.239197,246.971
1783750748.259348,246.971
1783750748.279489,246.971
1783750748.299632,246.796
1783750748.319773,246.796
1783750748.339897,246.796
1783750748.360037,246.796
1783750748.380183,246.796
1783750748.400359,247.166
1783750748.420504,247.166
1783750748.440651,247.166
1783750748.460803,247.166
1783750748.480946,246.358
1783750748.501084,246.358
1783750748.521229,246.358
1783750748.541376,246.358
1783750748.561522,246.358
1783750748.581667,246.117
1783750748.601812,246.117
1783750748.621957,246.117
1783750748.642099,246.117
1783750748.662245,246.117
1783750748.682398,247.097
1783750748.702543,247.097
1783750748.722689,247.097
1783750748.742871,247.097
1783750748.763022,247.097
1783750748.783175,247.434
1783750748.803324,247.434
1783750748.823472,247.434
1783750748.843618,247.434
1783750748.863775,247.434
1783750748.883920,246.852
1783750748.904063,246.852
1783750748.924206,246.852
1783750748.944353,246.852
1783750748.964500,246.852
1783750748.984646,247.887
1783750749.004788,247.887
1783750749.024945,247.887
1783750749.045090,247.887
1783750749.065234,247.887
1783750749.085414,247.608
1783750749.105572,247.608
1783750749.125718,247.608
1783750749.145912,247.608
1783750749.166059,247.608
1783750749.186213,246.993
1783750749.206357,246.993
1783750749.226502,246.993
1783750749.246649,246.993
1783750749.266799,246.993
1783750749.286942,246.176
