arm,engine,mode,run,iters,positions,wall_s,positions_per_s,energy_J_hot,J_per_position,median_W,sm_clock_med,temp_max_C,attn_backend,fallback
T1_VLLM_DEFAULT,vllm,default,1,1034,2117632,60.02225971221924,35280.77766737089,40643.507,0.019192903677315038,679.178,1620.0,73,FLASH_ATTN_v3,
T1_VLLM_DEFAULT,vllm,default,2,1026,2101248,60.000234603881836,35020.66306694167,40602.299,0.01932294474521808,679.577,1620.0,74,FLASH_ATTN_v3,
T1_VLLM_DEFAULT,vllm,default,3,1029,2107392,60.039058208465576,35100.35071973956,40752.649,0.01933795373618197,678.803,1620.0,74,FLASH_ATTN_v3,
T1_VLLM_DEFAULT,vllm,default,4,1038,2125824,60.04479432106018,35403.968387887144,40803.04,0.0191939878371869,680.981,1605,74,FLASH_ATTN_v3,
T1_VLLM_DEFAULT,vllm,default,5,1032,2113536,60.03836536407471,35203.09034370681,40825.057,0.019315997929536095,680.236,1620.0,74,FLASH_ATTN_v3,
T2_VLLM_BI,vllm,batch_invariant,1,455,931840,30.006355047225952,31054.754852210794,19040.375,0.020433094737293957,634.394,1755,69,FLASH_ATTN_v3,
T2_VLLM_BI,vllm,batch_invariant,2,450,921600,30.00652813911438,30713.31663987703,18988.531,0.02060387478298611,632.809,1740,71,FLASH_ATTN_v3,
T2_VLLM_BI,vllm,batch_invariant,3,453,927744,30.010151147842407,30914.33946565446,19167.053,0.020659851208954194,638.732,1740,72,FLASH_ATTN_v3,
T4_VLLM_SOAK,vllm,default,1,10411,21321728,600.0386233329773,35533.92593557767,408944.595,0.019179711653764645,682.259,1620.0,74,FLASH_ATTN_v3,
T1_LUXI,luxiedge,frozen,1,810,1658880,60.002393,27646.8976,31203.617,0.018810050757137344,477.179,,,flash,0
T1_LUXI,luxiedge,frozen,2,815,1669120,60.352111,27656.3647,31584.222,0.018922679016487733,484.251,,,flash,0
T1_LUXI,luxiedge,frozen,3,833,1705984,60.004458,28430.9542,31854.58,0.0186722618734994,483.715,,,flash,0
T1_LUXI,luxiedge,frozen,4,836,1712128,60.267615,28408.7566,32047.108,0.01871770568555622,491.088,,,flash,0
T1_LUXI,luxiedge,frozen,5,834,1708032,60.195663,28374.6687,31941.626,0.018700835815722423,487.608,,,flash,0
T4_LUXI_SOAK,luxiedge,frozen,1,8246,16887808,600.02583,28145.135,318345.411,0.018850605774295873,490.838,,,flash,0
