sample_idx,unix_t,offset_s,gpu_power_watts
0,1783740741.7924674,0.0000,94.846
1,1783740741.8127782,0.0203,95.539
2,1783740741.8329005,0.0404,95.539
3,1783740741.853053,0.0606,95.539
4,1783740741.8731947,0.0807,95.539
5,1783740741.8933058,0.1008,95.539
6,1783740741.9134233,0.1210,103.25
7,1783740741.9335716,0.1411,103.25
8,1783740741.9537635,0.1613,103.25
9,1783740741.9739137,0.1814,103.25
10,1783740741.9940572,0.2016,103.25
11,1783740742.0142527,0.2218,110.846
12,1783740742.0343978,0.2419,110.846
13,1783740742.0545702,0.2621,110.846
14,1783740742.0747623,0.2823,110.846
15,1783740742.0949242,0.3025,110.846
16,1783740742.115088,0.3226,118.794
17,1783740742.135228,0.3428,118.794
18,1783740742.1554012,0.3629,118.794
19,1783740742.1755862,0.3831,118.794
20,1783740742.1957765,0.4033,118.794
21,1783740742.2159584,0.4235,126.762
22,1783740742.2360814,0.4436,126.762
23,1783740742.2562466,0.4638,126.762
24,1783740742.2764432,0.4840,126.762
25,1783740742.2966113,0.5041,126.762
26,1783740742.3167512,0.5243,134.568
27,1783740742.3369179,0.5445,134.568
28,1783740742.357073,0.5646,134.568
29,1783740742.377231,0.5848,134.568
30,1783740742.397412,0.6049,134.568
31,1783740742.4175892,0.6251,143.674
32,1783740742.4377828,0.6453,143.674
33,1783740742.4579892,0.6655,143.674
34,1783740742.4781387,0.6857,143.674
35,1783740742.4983153,0.7058,143.674
36,1783740742.5185013,0.7260,150.803
37,1783740742.538641,0.7462,150.803
38,1783740742.5587866,0.7663,150.803
39,1783740742.578901,0.7864,150.803
40,1783740742.5990448,0.8066,150.803
41,1783740742.619204,0.8267,160.261
42,1783740742.6393104,0.8468,160.261
43,1783740742.6594667,0.8670,160.261
44,1783740742.6796305,0.8872,160.261
45,1783740742.6997902,0.9073,160.261
46,1783740742.719968,0.9275,167.024
47,1783740742.7400908,0.9476,167.024
48,1783740742.7602437,0.9678,167.024
49,1783740742.7803812,0.9879,167.024
50,1783740742.800524,1.0081,167.024
51,1783740742.8206987,1.0282,175.772
52,1783740742.840887,1.0484,175.772
