sample_idx,unix_t,iso_approx_note,luxi_gpu_power_watts,luxi_gpu_power_samples,luxi_gpu_count,luxi_energy_joules_total,completed_ok_if_present
0,1783734573.4497159,offset_s=0.0,63.64,48.0,1.0,32103.519999998523,
1,1783734583.450776,offset_s=10.0,63.64,66.0,1.0,122586.87999999341,
2,1783734593.4521434,offset_s=20.0,63.61,85.0,1.0,213509.04000001046,
3,1783734603.4551222,offset_s=30.0,63.64,104.0,1.0,304542.16000003024,
4,1783734613.4593701,offset_s=40.0,63.63,122.0,1.0,396072.16000005,
5,1783734623.4635217,offset_s=50.0,63.62,141.0,1.0,487194.64000006963,
6,1783734633.46523,offset_s=60.0,63.62,160.0,1.0,578686.7200000568,
7,1783734643.46733,offset_s=70.0,63.63,178.0,1.0,670501.2000000215,
8,1783734653.468488,offset_s=80.0,63.66,197.0,1.0,762458.3999999862,
9,1783734663.47526,offset_s=90.0,63.64,215.0,1.0,854305.3599999509,
10,1783734673.4797115,offset_s=100.0,63.64,234.0,1.0,946320.8799999156,
11,1783734683.4848132,offset_s=110.0,63.64,253.0,1.0,1038083.1999998803,
12,1783734693.4873013,offset_s=120.0,63.6,271.0,1.0,1129406.479999845,
13,1783734703.4888191,offset_s=130.0,63.69,290.0,1.0,1220445.99999981,
14,1783734713.4916744,offset_s=140.0,63.61,308.0,1.0,1312189.1199997747,
15,1783734723.493183,offset_s=150.0,63.62,327.0,1.0,1403312.5599997398,
16,1783734733.4982953,offset_s=160.0,63.64,345.0,1.0,1494706.239999705,
17,1783734743.500425,offset_s=170.1,63.63,364.0,1.0,1586242.8799996695,
18,1783734753.5038297,offset_s=180.1,63.66,382.0,1.0,1677579.9199996344,
19,1783734763.5062032,offset_s=190.1,63.69,400.0,1.0,1777209.039999596,
20,1783734773.5077038,offset_s=200.1,63.9,419.0,1.0,1877621.4399995576,
21,1783734783.5091317,offset_s=210.1,63.99,438.0,1.0,1968537.1999995227,
22,1783734793.512282,offset_s=220.1,64.12,456.0,1.0,2060260.8799994872,
23,1783734803.5150192,offset_s=230.1,64.11,475.0,1.0,2152056.6399994525,
24,1783734813.5163295,offset_s=240.1,64.12,493.0,1.0,2243392.9599994174,
25,1783734823.5186934,offset_s=250.1,63.99,512.0,1.0,2334929.8399993824,
26,1783734833.5217485,offset_s=260.1,64.11,531.0,1.0,2427455.0399993467,
27,1783734843.5253549,offset_s=270.1,64.12,549.0,1.0,2519315.0399993113,
28,1783734853.5262752,offset_s=280.1,64.11,568.0,1.0,2611188.079999276,
29,1783734863.5288723,offset_s=290.1,64.06,587.0,1.0,2702394.959999241,
30,1783734873.5344324,offset_s=300.1,63.99,605.0,1.0,2793673.439999206,
31,1783734883.538594,offset_s=310.1,63.95,624.0,1.0,2885151.999999171,
32,1783734893.5399399,offset_s=320.1,63.86,642.0,1.0,2976785.5999991354,
33,1783734903.5409343,offset_s=330.1,63.8,661.0,1.0,3068716.4799991003,
34,1783734913.5420969,offset_s=340.1,63.77,680.0,1.0,3161118.6399990646,
35,1783734923.5431254,offset_s=350.1,63.75,698.0,1.0,3253134.3999990295,
