t,W
1783748468.287322,112.916
1783748468.311913,112.916
1783748468.332060,112.916
1783748468.352202,112.916
1783748468.372341,112.916
1783748468.392481,118.707
1783748468.412627,118.707
1783748468.432773,118.707
1783748468.452916,118.707
1783748468.473055,118.707
1783748468.493201,121.045
1783748468.513343,121.045
1783748468.533480,121.045
1783748468.553618,121.045
1783748468.573758,121.045
1783748468.593899,124.023
1783748468.614033,124.023
1783748468.634172,124.023
1783748468.654312,124.023
1783748468.674458,124.023
1783748468.694596,128.424
1783748468.714780,128.424
1783748468.734918,128.424
1783748468.755059,128.424
1783748468.775199,128.424
1783748468.795335,129.450
1783748468.815471,129.450
1783748468.835613,129.450
1783748468.855752,129.450
1783748468.875889,129.450
1783748468.896025,134.333
1783748468.916163,134.333
1783748468.936301,134.333
1783748468.956438,134.333
1783748468.976577,134.333
1783748468.996775,140.278
1783748469.016915,140.278
1783748469.037051,140.278
1783748469.057188,140.278
1783748469.077335,140.278
1783748469.097476,147.327
1783748469.117611,147.327
1783748469.137755,147.327
1783748469.157894,147.327
1783748469.178036,147.327
1783748469.198172,152.190
1783748469.218309,152.190
1783748469.238447,152.190
1783748469.258620,152.190
1783748469.278759,152.190
1783748469.298898,152.345
1783748469.319034,152.345
1783748469.339180,152.345
1783748469.359318,152.345
1783748469.379454,152.345
1783748469.399590,152.299
1783748469.419774,152.299
1783748469.439946,152.299
1783748469.460083,152.299
1783748469.480220,152.299
1783748469.500368,151.995
1783748469.520507,151.995
1783748469.540640,151.995
1783748469.560777,151.995
1783748469.580887,151.995
1783748469.600998,152.441
1783748469.621103,152.441
1783748469.641212,152.441
1783748469.661319,152.441
1783748469.681426,152.441
1783748469.701535,151.836
1783748469.721640,151.836
1783748469.741749,151.836
1783748469.761852,151.836
1783748469.781956,151.836
1783748469.802060,151.588
1783748469.822162,151.588
1783748469.842284,151.588
1783748469.862386,151.588
1783748469.882486,151.588
1783748469.902588,152.372
1783748469.922691,152.372
1783748469.942756,152.372
1783748469.962859,152.372
1783748469.982996,152.372
1783748470.003139,152.369
1783748470.023273,152.369
1783748470.043406,152.369
1783748470.063543,152.369
1783748470.083686,152.369
1783748470.103823,152.408
1783748470.123954,152.408
1783748470.144087,152.408
1783748470.164222,152.408
1783748470.184362,152.408
1783748470.204496,152.605
1783748470.224630,152.605
1783748470.244766,152.605
1783748470.264903,152.605
1783748470.285041,152.605
1783748470.305175,152.633
1783748470.325306,152.633
1783748470.345441,152.633
1783748470.365577,152.633
1783748470.385711,152.633
1783748470.405887,152.739
1783748470.426031,152.739
1783748470.446173,152.739
1783748470.466307,152.739
1783748470.486443,152.898
1783748470.506588,152.898
1783748470.526772,152.898
1783748470.546942,152.898
1783748470.567075,152.898
1783748470.587213,152.709
1783748470.607350,152.709
1783748470.627481,152.709
1783748470.647617,152.709
1783748470.667753,152.709
1783748470.687889,153.170
1783748470.708023,153.170
1783748470.728193,153.170
1783748470.748325,153.170
1783748470.768464,153.170
1783748470.788602,153.068
1783748470.808779,153.068
1783748470.828915,153.068
1783748470.849057,153.068
1783748470.869196,153.068
1783748470.889361,153.191
1783748470.909495,153.191
1783748470.929631,153.191
1783748470.949768,153.191
1783748470.969903,153.191
1783748470.990037,153.089
1783748471.010178,153.089
1783748471.030313,153.089
1783748471.050446,153.089
1783748471.070585,153.089
1783748471.090779,153.141
1783748471.110920,153.141
1783748471.131053,153.141
1783748471.151193,153.141
1783748471.171329,153.141
1783748471.191468,153.143
1783748471.211601,153.143
1783748471.231782,153.143
1783748471.251917,153.143
1783748471.272053,153.143
1783748471.292190,152.988
1783748471.312324,152.988
1783748471.332458,152.988
1783748471.352594,152.988
1783748471.372772,152.988
1783748471.392909,152.926
1783748471.413044,152.926
1783748471.433183,152.926
1783748471.453325,152.926
1783748471.473459,152.926
1783748471.493592,152.789
1783748471.513779,152.789
1783748471.533916,152.789
1783748471.554049,152.789
1783748471.574183,152.789
1783748471.594321,153.009
1783748471.614457,153.009
1783748471.634590,153.009
1783748471.654771,153.009
1783748471.674908,153.009
1783748471.695046,153.035
1783748471.715181,153.035
1783748471.735318,153.035
1783748471.755451,153.035
1783748471.775588,153.035
1783748471.795768,153.136
1783748471.815904,153.136
1783748471.836075,153.136
1783748471.856219,153.136
1783748471.876354,153.136
1783748471.896489,153.289
1783748471.916624,153.289
1783748471.936763,153.289
1783748471.956905,153.289
1783748471.977039,153.289
1783748471.997200,153.275
1783748472.017347,153.275
1783748472.037501,153.275
1783748472.057604,153.275
1783748472.077708,153.275
1783748472.097858,153.388
1783748472.117965,153.388
1783748472.138127,153.388
1783748472.158271,153.388
1783748472.178415,153.388
1783748472.198554,152.980
1783748472.218688,152.980
1783748472.238827,152.980
1783748472.258965,152.980
1783748472.279103,152.980
1783748472.299241,153.043
1783748472.319377,153.043
1783748472.339513,153.043
1783748472.359652,153.043
1783748472.379788,153.043
1783748472.399922,152.900
1783748472.420058,152.900
1783748472.440195,152.900
1783748472.460330,152.900
1783748472.480463,152.900
1783748472.500597,152.731
1783748472.520703,152.731
1783748472.540880,152.731
1783748472.561015,152.731
1783748472.581148,152.731
1783748472.601289,152.631
1783748472.621426,152.631
1783748472.641559,152.631
1783748472.661701,152.631
1783748472.681851,152.631
1783748472.701992,152.880
1783748472.722125,152.880
1783748472.742263,152.880
1783748472.762402,152.880
1783748472.782539,152.880
1783748472.802674,152.521
1783748472.822812,152.521
1783748472.842949,152.521
1783748472.863088,152.521
1783748472.883223,152.521
1783748472.903360,152.786
1783748472.923496,152.786
1783748472.943637,152.786
1783748472.963774,152.786
1783748472.983911,152.786
1783748473.004048,152.131
1783748473.024192,152.131
1783748473.044332,152.131
1783748473.064463,152.131
1783748473.084599,152.131
1783748473.104837,151.750
1783748473.125012,151.750
1783748473.145144,151.750
1783748473.165280,151.750
1783748473.185422,151.750
1783748473.205559,152.156
1783748473.225693,152.156
1783748473.245772,152.156
1783748473.265904,152.156
1783748473.286068,152.156
1783748473.306202,152.206
1783748473.326337,152.206
1783748473.346469,152.206
1783748473.366606,152.206
1783748473.386787,152.206
1783748473.406920,152.066
1783748473.427051,152.066
1783748473.447185,152.066
1783748473.467318,152.066
1783748473.487450,152.265
1783748473.507581,152.265
1783748473.527689,152.265
1783748473.547825,152.265
1783748473.567955,152.265
1783748473.588093,152.296
1783748473.608235,152.296
1783748473.628369,152.296
1783748473.648502,152.296
1783748473.668641,152.296
1783748473.688783,152.152
1783748473.708923,152.152
1783748473.729057,152.152
1783748473.749193,152.152
1783748473.769327,152.152
1783748473.789464,152.660
1783748473.809597,152.660
1783748473.829777,152.660
1783748473.849911,152.660
1783748473.870045,152.660
1783748473.890180,152.661
1783748473.910315,152.661
1783748473.930449,152.661
1783748473.950590,152.661
1783748473.970773,152.661
1783748473.990909,152.903
1783748474.011042,152.903
1783748474.031185,152.903
1783748474.051321,152.903
1783748474.071455,152.903
1783748474.091587,152.963
1783748474.111763,152.963
1783748474.131900,152.963
1783748474.152031,152.963
1783748474.172166,152.963
1783748474.192306,153.080
1783748474.212444,153.080
1783748474.232576,153.080
1783748474.252714,153.080
1783748474.272903,153.080
1783748474.293042,152.767
1783748474.313178,152.767
1783748474.333316,152.767
1783748474.353450,152.767
1783748474.373592,152.767
1783748474.393759,153.046
1783748474.413895,153.046
1783748474.434030,153.046
1783748474.454172,153.046
1783748474.474308,153.046
1783748474.494442,152.853
1783748474.514581,152.853
1783748474.534717,152.853
1783748474.554904,152.853
1783748474.575066,152.853
1783748474.595203,153.127
1783748474.615348,153.127
1783748474.635486,153.127
1783748474.655620,153.127
1783748474.675760,153.127
1783748474.695903,153.207
1783748474.716040,153.207
1783748474.736146,153.207
1783748474.756280,153.207
1783748474.776416,153.207
1783748474.796553,152.603
1783748474.816689,152.603
