t,W
1783750594.551913,231.088
1783750594.577039,231.088
1783750594.597191,231.088
1783750594.617333,247.122
1783750594.637484,247.122
1783750594.657630,247.122
1783750594.677787,247.122
1783750594.697926,247.122
1783750594.718080,248.080
1783750594.738227,248.080
1783750594.758376,248.080
1783750594.778515,248.080
1783750594.798662,248.080
1783750594.818808,247.835
1783750594.838955,247.835
1783750594.859096,247.835
1783750594.879240,247.835
1783750594.899386,247.835
1783750594.919536,244.679
1783750594.939679,244.679
1783750594.959820,244.679
1783750594.979970,244.679
1783750595.000124,244.679
1783750595.020270,245.939
1783750595.040412,245.939
1783750595.060565,245.939
1783750595.080716,245.939
1783750595.100906,245.939
1783750595.121050,245.822
1783750595.141203,245.822
1783750595.161350,245.822
1783750595.181504,245.822
1783750595.201648,245.822
1783750595.221799,245.986
1783750595.241951,245.986
1783750595.262102,245.986
1783750595.282247,245.986
1783750595.302396,245.986
1783750595.322544,246.920
1783750595.342702,246.920
1783750595.362890,246.920
1783750595.383038,246.920
1783750595.403187,246.920
1783750595.423341,247.253
1783750595.443488,247.253
1783750595.463633,247.253
1783750595.483783,247.253
1783750595.503937,247.253
1783750595.524083,247.306
1783750595.544224,247.306
1783750595.564373,247.306
1783750595.584527,247.306
1783750595.604676,247.306
1783750595.624820,246.564
1783750595.644972,246.564
1783750595.665116,246.564
1783750595.685298,246.564
1783750595.705443,246.564
1783750595.725592,246.415
1783750595.745787,246.415
1783750595.765940,246.415
1783750595.786084,246.415
1783750595.806232,246.415
1783750595.826380,246.173
1783750595.846530,246.173
1783750595.866677,246.173
1783750595.886822,246.173
1783750595.906969,246.173
1783750595.927146,247.909
1783750595.947290,247.909
1783750595.967450,247.909
1783750595.987598,247.909
1783750596.007784,247.909
1783750596.027926,248.086
1783750596.048067,248.086
1783750596.068214,248.086
1783750596.088364,248.086
1783750596.108510,248.086
1783750596.128652,248.427
1783750596.148801,248.427
1783750596.168945,248.427
1783750596.189092,248.427
1783750596.209230,248.427
1783750596.229376,247.929
1783750596.249520,247.929
1783750596.269670,247.929
1783750596.289810,247.929
1783750596.309956,247.929
1783750596.330099,248.613
1783750596.350254,248.613
1783750596.370395,248.613
1783750596.390539,248.613
1783750596.410684,248.613
1783750596.430863,248.479
1783750596.451007,248.479
1783750596.471151,248.479
1783750596.491300,248.479
1783750596.511445,248.479
1783750596.531565,246.751
1783750596.551706,246.751
1783750596.571903,246.751
1783750596.592052,246.751
1783750596.612193,246.751
1783750596.632335,247.499
1783750596.652484,247.499
1783750596.672627,247.499
1783750596.692779,247.499
1783750596.712919,247.499
1783750596.733063,247.768
1783750596.753206,247.768
1783750596.773359,247.768
1783750596.793498,247.768
1783750596.813643,247.428
1783750596.833787,247.428
1783750596.853936,247.428
1783750596.874077,247.428
1783750596.894221,247.428
1783750596.914364,248.887
1783750596.934484,248.887
1783750596.954592,248.887
1783750596.974697,248.887
1783750596.994743,248.887
1783750597.014822,249.190
1783750597.034937,249.190
1783750597.055078,249.190
1783750597.075228,249.190
1783750597.095377,249.190
1783750597.115520,248.923
1783750597.135663,248.923
1783750597.155890,248.923
1783750597.176034,248.923
1783750597.196184,248.923
1783750597.216348,248.984
1783750597.236495,248.984
1783750597.256639,248.984
1783750597.276791,248.984
1783750597.296933,248.984
1783750597.317079,248.517
1783750597.337224,248.517
1783750597.357374,248.517
1783750597.377513,248.517
1783750597.397658,248.517
1783750597.417805,248.315
1783750597.437958,248.315
1783750597.458101,248.315
1783750597.478245,248.315
1783750597.498393,248.315
1783750597.518542,250.040
1783750597.538685,250.040
1783750597.558826,250.040
1783750597.578975,250.040
1783750597.599106,250.040
1783750597.619249,249.904
1783750597.639391,249.904
1783750597.659538,249.904
1783750597.679682,249.904
1783750597.699833,249.904
1783750597.719974,249.892
1783750597.740120,249.892
1783750597.760264,249.892
1783750597.780416,249.892
1783750597.800558,249.892
1783750597.820705,249.283
1783750597.840892,249.283
1783750597.861043,249.283
1783750597.881181,249.283
1783750597.901326,249.283
1783750597.921474,249.193
1783750597.941630,249.193
1783750597.961772,249.193
1783750597.981917,249.193
1783750598.002066,249.193
1783750598.022199,248.131
1783750598.042343,248.131
1783750598.062485,248.131
1783750598.082638,248.131
1783750598.102791,248.131
1783750598.122934,247.456
1783750598.143078,247.456
1783750598.163229,247.456
1783750598.183377,247.456
1783750598.203529,247.456
1783750598.223670,247.472
1783750598.243891,247.472
1783750598.264039,247.472
1783750598.284191,247.472
1783750598.304338,247.472
1783750598.324485,248.053
1783750598.344633,248.053
1783750598.364789,248.053
1783750598.384933,248.053
1783750598.405080,248.053
1783750598.425226,247.331
1783750598.445382,247.331
1783750598.465527,247.331
1783750598.485673,247.331
1783750598.505913,247.331
1783750598.526072,247.585
1783750598.546218,247.585
1783750598.566361,247.585
1783750598.586512,247.585
1783750598.606666,247.585
1783750598.626813,248.178
1783750598.646956,248.178
1783750598.667105,248.178
1783750598.687256,248.178
1783750598.707406,248.178
1783750598.727551,246.497
1783750598.747702,246.497
1783750598.767894,246.497
1783750598.788047,246.497
1783750598.808189,246.497
1783750598.828306,247.173
1783750598.848452,247.173
1783750598.868603,247.173
1783750598.888786,247.173
1783750598.908936,247.173
1783750598.929083,247.190
1783750598.949238,247.190
1783750598.969380,247.190
1783750598.989527,247.190
1783750599.009657,247.190
1783750599.029812,247.601
1783750599.049956,247.601
1783750599.070101,247.601
1783750599.090255,247.601
1783750599.110406,247.601
1783750599.130553,248.032
1783750599.150698,248.032
1783750599.170887,248.032
1783750599.191038,248.032
1783750599.211185,248.032
1783750599.231330,247.782
1783750599.251480,247.782
1783750599.271629,247.782
1783750599.291780,247.782
1783750599.311923,247.782
1783750599.332073,247.330
1783750599.352222,247.330
1783750599.372378,247.330
1783750599.392521,247.330
1783750599.412667,247.330
1783750599.432816,247.000
1783750599.452974,247.000
1783750599.473119,247.000
1783750599.493263,247.000
1783750599.513412,247.000
1783750599.533592,246.828
1783750599.553781,246.828
1783750599.573927,246.828
1783750599.594079,246.828
1783750599.614231,246.183
1783750599.634378,246.183
1783750599.654520,246.183
1783750599.674670,246.183
1783750599.694824,246.183
1783750599.714974,246.576
1783750599.735119,246.576
1783750599.755272,246.576
1783750599.775450,246.576
1783750599.795603,246.576
1783750599.815788,246.502
1783750599.835937,246.502
1783750599.856082,246.502
1783750599.876233,246.502
1783750599.896373,246.502
1783750599.916521,246.327
1783750599.936667,246.327
1783750599.956817,246.327
1783750599.976957,246.327
1783750599.997070,246.327
1783750600.017184,245.627
1783750600.037299,245.627
1783750600.057395,245.627
1783750600.077538,245.627
1783750600.097686,245.627
1783750600.117839,244.949
1783750600.137987,244.949
1783750600.158099,244.949
1783750600.178247,244.949
1783750600.198397,244.949
1783750600.218546,245.446
1783750600.238689,245.446
1783750600.258895,245.446
1783750600.279039,245.446
1783750600.299196,245.446
1783750600.319339,244.785
1783750600.339489,244.785
1783750600.359637,244.785
1783750600.379796,244.785
1783750600.399938,244.785
1783750600.420086,245.547
1783750600.440233,245.547
1783750600.460389,245.547
1783750600.480534,245.547
1783750600.500683,245.547
1783750600.520833,245.752
1783750600.540969,245.752
1783750600.561114,245.752
1783750600.581260,245.752
1783750600.601411,245.752
1783750600.621563,244.836
1783750600.641705,244.836
1783750600.661886,244.836
1783750600.682035,244.836
1783750600.702187,244.836
1783750600.722336,245.743
1783750600.742478,245.743
1783750600.762630,245.743
1783750600.782779,245.743
1783750600.802934,245.743
1783750600.823109,245.438
1783750600.843259,245.438
1783750600.863405,245.438
1783750600.883561,245.438
1783750600.903704,245.438
1783750600.923894,244.485
1783750600.944042,244.485
1783750600.964196,244.485
1783750600.984338,244.485
1783750601.004484,244.485
1783750601.024633,245.148
1783750601.044785,245.148
1783750601.064961,245.148
1783750601.085105,245.148
1783750601.105255,245.148
1783750601.125405,246.509
1783750601.145552,246.509
1783750601.165696,246.509
1783750601.185898,246.509
1783750601.206050,246.509
1783750601.226194,246.517
1783750601.246337,246.517
1783750601.266490,246.517
1783750601.286636,246.517
1783750601.306788,246.517
1783750601.326928,246.494
1783750601.347075,246.494
1783750601.367222,246.494
1783750601.387375,246.494
1783750601.407520,246.494
1783750601.427669,246.470
1783750601.447817,246.470
1783750601.467969,246.470
1783750601.488112,246.470
1783750601.508261,246.470
1783750601.528409,245.388
1783750601.548563,245.388
1783750601.568707,245.388
1783750601.588906,245.388
1783750601.609055,245.388
1783750601.629208,245.407
1783750601.649351,245.407
1783750601.669499,245.407
1783750601.689652,245.407
1783750601.709804,245.407
1783750601.729947,245.553
1783750601.750087,245.553
1783750601.770237,245.553
1783750601.790386,245.553
1783750601.810534,245.553
1783750601.830678,246.044
1783750601.850828,246.044
1783750601.870974,246.044
1783750601.891126,246.044
1783750601.911269,246.044
1783750601.931418,246.902
1783750601.951567,246.902
1783750601.971720,246.902
1783750601.991902,246.902
1783750602.012047,246.902
1783750602.032197,246.950
1783750602.052351,246.950
1783750602.072494,246.950
1783750602.092608,246.950
1783750602.112742,246.950
1783750602.132878,246.929
1783750602.153022,246.929
1783750602.173163,246.929
1783750602.193312,246.929
1783750602.213460,246.929
1783750602.233605,245.548
1783750602.253786,245.548
1783750602.273932,245.548
1783750602.294079,245.548
1783750602.314225,245.548
1783750602.334363,246.270
1783750602.354540,246.270
1783750602.374685,246.270
1783750602.394862,246.270
1783750602.415003,246.617
1783750602.435148,246.617
1783750602.455294,246.617
1783750602.475445,246.617
1783750602.495582,246.617
1783750602.515769,246.859
1783750602.535916,246.859
1783750602.556067,246.859
