t,W
1783750893.673759,272.889
1783750893.698952,274.626
1783750893.719101,274.626
1783750893.739241,274.626
1783750893.759374,274.626
1783750893.779516,274.626
1783750893.799668,274.992
1783750893.819811,274.992
1783750893.839953,274.992
1783750893.860091,274.992
1783750893.880231,274.992
1783750893.900374,274.378
1783750893.920515,274.378
1783750893.940649,274.378
1783750893.960790,274.378
1783750893.980935,274.378
1783750894.001085,274.430
1783750894.021221,274.430
1783750894.041360,274.430
1783750894.061505,274.430
1783750894.081642,274.430
1783750894.101775,273.109
1783750894.121913,273.109
1783750894.142055,273.109
1783750894.162192,273.109
1783750894.182325,273.109
1783750894.202463,273.217
1783750894.222606,273.217
1783750894.242795,273.217
1783750894.262929,273.217
1783750894.283066,273.217
1783750894.303206,272.402
1783750894.323347,272.402
1783750894.343481,272.402
1783750894.363620,272.402
1783750894.383764,272.402
1783750894.403905,273.517
1783750894.424043,273.517
1783750894.444174,273.517
1783750894.464286,273.517
1783750894.484430,273.517
1783750894.504566,274.418
1783750894.524701,274.418
1783750894.544887,274.418
1783750894.565032,274.418
1783750894.585173,274.418
1783750894.605307,272.961
1783750894.625444,272.961
1783750894.645588,272.961
1783750894.665781,272.961
1783750894.685910,272.593
1783750894.706048,272.593
1783750894.726189,272.593
1783750894.746329,272.593
1783750894.766463,272.593
1783750894.786600,273.157
1783750894.806779,273.157
1783750894.826917,273.157
1783750894.847052,273.157
1783750894.867188,273.157
1783750894.887309,273.209
1783750894.907449,273.209
1783750894.927584,273.209
1783750894.947718,273.209
1783750894.967904,273.209
1783750894.988057,273.289
1783750895.008193,273.289
1783750895.028327,273.289
1783750895.048465,273.289
1783750895.068612,273.289
1783750895.088720,274.510
1783750895.108861,274.510
1783750895.128987,274.510
1783750895.149131,274.510
1783750895.169268,274.510
1783750895.189398,274.700
1783750895.209535,274.700
1783750895.229690,274.700
1783750895.249830,274.700
1783750895.269961,274.700
1783750895.290098,274.181
1783750895.310241,274.181
1783750895.330381,274.181
1783750895.350514,274.181
1783750895.370682,274.181
1783750895.390825,273.591
1783750895.410968,273.591
1783750895.431106,273.591
1783750895.451242,273.591
1783750895.471382,273.591
1783750895.491526,271.335
1783750895.511663,271.335
1783750895.531753,271.335
1783750895.551858,271.335
1783750895.571962,271.335
1783750895.592103,270.821
1783750895.612238,270.821
1783750895.632378,270.821
1783750895.652521,270.821
1783750895.672663,270.821
1783750895.692797,270.418
1783750895.712938,270.418
1783750895.733082,270.418
1783750895.753222,270.418
1783750895.773364,270.418
1783750895.793503,269.913
1783750895.813649,269.913
1783750895.833793,269.913
1783750895.853925,269.913
1783750895.874064,269.913
1783750895.894205,270.321
1783750895.914347,270.321
1783750895.934487,270.321
1783750895.954622,270.321
1783750895.974764,270.321
1783750895.994910,271.063
1783750896.015049,271.063
1783750896.035185,271.063
1783750896.055325,271.063
1783750896.075469,271.063
1783750896.095640,260.115
1783750896.115775,260.115
1783750896.135915,260.115
1783750896.156057,260.115
1783750896.176195,260.115
1783750896.196326,260.089
1783750896.216465,260.089
1783750896.236610,260.089
1783750896.256753,260.089
1783750896.276915,260.089
1783750896.297051,256.546
1783750896.317198,256.546
1783750896.337341,256.546
1783750896.357457,256.546
1783750896.377593,256.546
1783750896.397788,251.186
1783750896.417932,251.186
1783750896.438067,251.186
1783750896.458201,251.186
1783750896.478342,251.186
1783750896.498487,251.417
1783750896.518624,251.417
1783750896.538760,251.417
1783750896.558900,251.417
1783750896.579044,251.417
1783750896.599186,250.865
1783750896.619320,250.865
1783750896.639458,250.865
1783750896.659628,250.865
1783750896.679772,250.865
1783750896.699903,248.620
1783750896.720042,248.620
1783750896.740186,248.620
1783750896.760324,248.620
1783750896.780457,248.620
1783750896.800592,246.639
1783750896.820779,246.639
1783750896.840919,246.639
1783750896.861050,246.639
1783750896.881184,246.639
1783750896.901325,245.825
1783750896.921466,245.825
1783750896.941603,245.825
1783750896.961776,245.825
1783750896.981924,245.825
1783750897.002065,246.830
1783750897.022200,246.830
1783750897.042335,246.830
1783750897.062476,246.830
1783750897.082618,246.830
1783750897.102755,255.685
1783750897.122889,255.685
1783750897.143027,255.685
1783750897.163171,255.685
1783750897.183309,255.685
1783750897.203439,259.029
1783750897.223577,259.029
1783750897.243721,259.029
1783750897.263902,259.029
1783750897.284036,259.029
1783750897.304172,261.716
1783750897.324314,261.716
1783750897.344455,261.716
1783750897.364614,261.716
1783750897.384751,261.716
1783750897.404894,272.021
1783750897.425041,272.021
1783750897.445178,272.021
1783750897.465312,272.021
1783750897.485453,272.021
1783750897.505600,271.496
1783750897.525790,271.496
1783750897.545925,271.496
1783750897.566065,271.496
1783750897.586210,271.496
1783750897.606347,273.011
1783750897.626480,273.011
1783750897.646619,273.011
1783750897.666764,273.011
1783750897.686903,272.439
1783750897.707035,272.439
1783750897.727175,272.439
1783750897.747300,272.439
1783750897.767439,272.439
1783750897.787572,271.615
1783750897.807712,271.615
1783750897.827901,271.615
1783750897.848044,271.615
1783750897.868179,271.615
1783750897.888314,271.036
1783750897.908458,271.036
1783750897.928601,271.036
1783750897.948769,271.036
1783750897.968904,271.036
1783750897.989048,270.726
1783750898.009192,270.726
1783750898.029328,270.726
1783750898.049465,270.726
1783750898.069605,270.726
1783750898.089791,270.972
1783750898.109928,270.972
1783750898.130063,270.972
1783750898.150204,270.972
1783750898.170347,270.972
1783750898.190486,271.136
1783750898.210622,271.136
1783750898.230763,271.136
1783750898.250913,271.136
1783750898.271052,271.136
1783750898.291186,270.674
1783750898.311323,270.674
1783750898.331469,270.674
1783750898.351610,270.674
1783750898.371784,270.674
1783750898.391924,270.760
1783750898.412067,270.760
1783750898.432207,270.760
1783750898.452342,270.760
1783750898.472477,270.760
1783750898.492620,271.758
1783750898.512763,271.758
1783750898.532899,271.758
1783750898.553035,271.758
1783750898.573176,271.758
1783750898.593317,271.255
1783750898.613458,271.255
1783750898.633599,271.255
1783750898.653778,271.255
1783750898.673927,271.255
1783750898.694069,272.292
1783750898.714202,272.292
1783750898.734340,272.292
1783750898.754484,272.292
1783750898.774628,272.292
1783750898.794767,274.860
1783750898.814906,274.860
1783750898.835047,274.860
1783750898.855184,274.860
1783750898.875316,274.860
1783750898.895457,275.712
1783750898.915600,275.712
1783750898.935786,275.712
1783750898.955925,275.712
1783750898.976062,275.712
1783750898.996202,276.250
1783750899.016346,276.250
1783750899.036484,276.250
1783750899.056622,276.250
1783750899.076761,276.250
1783750899.096911,275.806
1783750899.117049,275.806
1783750899.137188,275.806
1783750899.157330,275.806
1783750899.177474,275.806
1783750899.197616,276.185
1783750899.217785,276.185
1783750899.237923,276.185
1783750899.258072,276.185
1783750899.278212,276.185
1783750899.298348,277.148
1783750899.318457,277.148
1783750899.338562,277.148
1783750899.358648,277.148
1783750899.378770,277.148
1783750899.398915,276.263
1783750899.419057,276.263
1783750899.439200,276.263
1783750899.459339,276.263
1783750899.479477,276.263
1783750899.499619,277.350
1783750899.519763,277.350
1783750899.539900,277.350
1783750899.560038,277.350
1783750899.580148,277.350
1783750899.600293,277.997
1783750899.620433,277.997
1783750899.640575,277.997
1783750899.660688,277.997
1783750899.680840,277.997
1783750899.701012,276.997
1783750899.721130,276.997
1783750899.741233,276.997
1783750899.761331,276.997
1783750899.781418,276.997
1783750899.801503,276.542
1783750899.821598,276.542
1783750899.841701,276.542
1783750899.861858,276.542
1783750899.881970,276.542
1783750899.902082,275.539
1783750899.922196,275.539
1783750899.942333,275.539
1783750899.962440,275.539
1783750899.982546,275.539
1783750900.002659,272.893
1783750900.022759,272.893
1783750900.042864,272.893
1783750900.062973,272.893
1783750900.083083,272.893
1783750900.103198,271.276
1783750900.123306,271.276
1783750900.143413,271.276
1783750900.163524,271.276
1783750900.183636,271.276
1783750900.203792,271.498
1783750900.223926,271.498
1783750900.244067,271.498
1783750900.264217,271.498
1783750900.284356,271.498
1783750900.304490,271.982
1783750900.324631,271.982
1783750900.344777,271.982
1783750900.364915,271.982
1783750900.385050,271.982
1783750900.405190,273.219
1783750900.425333,273.219
1783750900.445476,273.219
1783750900.465612,273.219
1783750900.485747,273.219
1783750900.505909,271.897
1783750900.526050,271.897
1783750900.546186,271.897
1783750900.566323,271.897
1783750900.586463,271.897
1783750900.606606,273.411
1783750900.626796,273.411
1783750900.646930,273.411
1783750900.667071,273.411
1783750900.687220,273.411
1783750900.707357,273.874
1783750900.727491,273.874
1783750900.747632,273.874
1783750900.767782,273.874
1783750900.787923,272.517
1783750900.808058,272.517
1783750900.828198,272.517
1783750900.848342,272.517
1783750900.868484,272.517
1783750900.888620,273.615
1783750900.908760,273.615
1783750900.928902,273.615
1783750900.949044,273.615
1783750900.969181,273.615
1783750900.989315,275.383
1783750901.009457,275.383
1783750901.029600,275.383
1783750901.049772,275.383
1783750901.069906,275.383
1783750901.090047,276.099
1783750901.110196,276.099
1783750901.130336,276.099
1783750901.150471,276.099
1783750901.170615,276.099
1783750901.190769,276.905
1783750901.210914,276.905
1783750901.231071,276.905
1783750901.251210,276.905
1783750901.271321,276.905
1783750901.291435,276.418
1783750901.311524,276.418
1783750901.331615,276.418
1783750901.351700,276.418
1783750901.371825,276.418
1783750901.391963,275.466
1783750901.412104,275.466
1783750901.432248,275.466
1783750901.452390,275.466
1783750901.472526,275.466
1783750901.492644,276.559
1783750901.512786,276.559
1783750901.532931,276.559
1783750901.553050,276.559
1783750901.573189,276.559
1783750901.593326,275.422
1783750901.613489,275.422
1783750901.633628,275.422
1783750901.653764,275.422
1783750901.673904,275.422
1783750901.694048,276.958
1783750901.714316,276.958
1783750901.734449,276.958
1783750901.754623,276.958
1783750901.774773,276.958
1783750901.794911,277.331
1783750901.815046,277.331
1783750901.835181,277.331
1783750901.855321,277.331
1783750901.875464,277.331
1783750901.895579,276.447
1783750901.915717,276.447
1783750901.935901,276.447
1783750901.956043,276.447
1783750901.976177,276.447
1783750901.996313,276.737
1783750902.016456,276.737
1783750902.036598,276.737
1783750902.056776,276.737
1783750902.076893,276.737
1783750902.097032,276.212
1783750902.117181,276.212
1783750902.137316,276.212
1783750902.157448,276.212
1783750902.177588,276.212
1783750902.197778,275.541
1783750902.217916,275.541
1783750902.238081,275.541
1783750902.258219,275.541
1783750902.278364,275.541
1783750902.298501,276.095
1783750902.318633,276.095
1783750902.338769,276.095
1783750902.358909,276.095
1783750902.379046,276.095
1783750902.399183,276.881
1783750902.419321,276.881
1783750902.439467,276.881
1783750902.459608,276.881
1783750902.479826,276.881
1783750902.499982,276.884
1783750902.520123,276.884
1783750902.540267,276.884
1783750902.560404,276.884
1783750902.580520,276.884
1783750902.600659,275.708
1783750902.620803,275.708
1783750902.640939,275.708
1783750902.661073,275.708
1783750902.681212,275.708
1783750902.701355,273.358
1783750902.721492,273.358
1783750902.741625,273.358
1783750902.761767,273.358
1783750902.781910,273.358
1783750902.802052,272.815
1783750902.822184,272.815
1783750902.842322,272.815
1783750902.862465,272.815
1783750902.882605,272.815
1783750902.902777,271.480
1783750902.922913,271.480
1783750902.943058,271.480
1783750902.963197,271.480
1783750902.983332,271.480
1783750903.003466,270.639
1783750903.023604,270.639
1783750903.043797,270.639
1783750903.063933,270.639
1783750903.084066,270.639
1783750903.104206,270.785
1783750903.124351,270.785
1783750903.144487,270.785
1783750903.164630,270.785
1783750903.184751,270.785
1783750903.204893,270.800
1783750903.225030,270.800
1783750903.245137,270.800
1783750903.265275,270.800
1783750903.285416,270.800
1783750903.305553,269.841
1783750903.325683,269.841
1783750903.345820,269.841
1783750903.365963,269.841
1783750903.386102,269.841
1783750903.406234,270.919
1783750903.426350,270.919
1783750903.446493,270.919
1783750903.466632,270.919
1783750903.486767,270.919
1783750903.506907,270.499
1783750903.527073,270.499
1783750903.547220,270.499
1783750903.567356,270.499
1783750903.587490,270.499
1783750903.607628,271.186
1783750903.627771,271.186
1783750903.647910,271.186
1783750903.668045,271.186
1783750903.688183,271.186
1783750903.708332,273.765
1783750903.728473,273.765
1783750903.748619,273.765
1783750903.768763,273.765
1783750903.788942,275.239
1783750903.809083,275.239
1783750903.829186,275.239
1783750903.849326,275.239
1783750903.869471,275.239
1783750903.889610,278.504
1783750903.909781,278.504
1783750903.929917,278.504
1783750903.950062,278.504
1783750903.970201,278.504
1783750903.990337,278.138
1783750904.010474,278.138
1783750904.030618,278.138
1783750904.050767,278.138
1783750904.070908,278.138
1783750904.091050,278.094
1783750904.111190,278.094
1783750904.131337,278.094
1783750904.151471,278.094
1783750904.171609,278.094
1783750904.191752,278.867
1783750904.211897,278.867
1783750904.232036,278.867
1783750904.252172,278.867
1783750904.272309,278.867
1783750904.292451,279.222
1783750904.312592,279.222
1783750904.332769,279.222
1783750904.352909,279.222
1783750904.373051,279.222
1783750904.393193,279.035
1783750904.413329,279.035
1783750904.433468,279.035
1783750904.453613,279.035
1783750904.473755,279.035
1783750904.493869,280.484
1783750904.514008,280.484
1783750904.534150,280.484
1783750904.554291,280.484
1783750904.574408,280.484
1783750904.594543,282.425
1783750904.614685,282.425
1783750904.634832,282.425
1783750904.654967,282.425
1783750904.675099,282.425
1783750904.695239,282.035
1783750904.715384,282.035
1783750904.735522,282.035
1783750904.755630,282.035
1783750904.775770,282.035
1783750904.795943,281.519
1783750904.816085,281.519
1783750904.836218,281.519
1783750904.856355,281.519
1783750904.876477,281.519
1783750904.896617,278.965
1783750904.916752,278.965
1783750904.936891,278.965
1783750904.957039,278.965
1783750904.977157,278.965
1783750904.997274,279.814
1783750905.017409,279.814
1783750905.037551,279.814
1783750905.057694,279.814
1783750905.077903,279.814
1783750905.098039,278.898
1783750905.118179,278.898
1783750905.138326,278.898
1783750905.158462,278.898
1783750905.178599,278.898
1783750905.198785,277.856
1783750905.218910,277.856
1783750905.239046,277.856
1783750905.259180,277.856
1783750905.279318,277.856
1783750905.299467,277.672
1783750905.319609,277.672
1783750905.339785,277.672
1783750905.359923,277.672
1783750905.380067,277.672
1783750905.400206,277.404
1783750905.420339,277.404
1783750905.440475,277.404
1783750905.460621,277.404
1783750905.480761,277.404
1783750905.500896,277.290
1783750905.521032,277.290
1783750905.541171,277.290
1783750905.561314,277.290
1783750905.581451,277.290
1783750905.601585,277.850
1783750905.621751,277.850
1783750905.641874,277.850
1783750905.662012,277.850
1783750905.682148,277.850
1783750905.702285,278.379
1783750905.722429,278.379
1783750905.742566,278.379
1783750905.762702,278.379
1783750905.782881,278.379
1783750905.803030,279.143
1783750905.823170,279.143
1783750905.843303,279.143
1783750905.863444,279.143
1783750905.883589,279.143
1783750905.903771,280.361
1783750905.923906,280.361
1783750905.944045,280.361
1783750905.964188,280.361
1783750905.984330,280.361
1783750906.004465,280.575
1783750906.024601,280.575
1783750906.044800,280.575
1783750906.064943,280.575
1783750906.085108,280.575
1783750906.105242,281.583
1783750906.125382,281.583
1783750906.145528,281.583
1783750906.165646,281.583
1783750906.185755,281.583
1783750906.205866,280.903
1783750906.225981,280.903
1783750906.246090,280.903
1783750906.266197,280.903
1783750906.286307,280.903
1783750906.306422,280.209
1783750906.326536,280.209
1783750906.346640,280.209
1783750906.366754,280.209
1783750906.386865,280.209
1783750906.406971,280.609
1783750906.427075,280.609
1783750906.447180,280.609
1783750906.467293,280.609
1783750906.487405,280.609
1783750906.507509,280.536
1783750906.527615,280.536
1783750906.547769,280.536
1783750906.567880,280.536
1783750906.587972,280.536
1783750906.608108,280.535
1783750906.628248,280.535
1783750906.648396,280.535
1783750906.668534,280.535
1783750906.688671,280.535
1783750906.708811,281.133
1783750906.728956,281.133
1783750906.749092,281.133
1783750906.769224,281.133
1783750906.789370,282.783
1783750906.809519,282.783
1783750906.829662,282.783
1783750906.849795,282.783
1783750906.869934,282.783
1783750906.890075,282.761
1783750906.910213,282.761
1783750906.930345,282.761
1783750906.950482,282.761
1783750906.970628,282.761
1783750906.990769,282.303
1783750907.010902,282.303
1783750907.031039,282.303
1783750907.051180,282.303
1783750907.071320,282.303
1783750907.091462,280.183
1783750907.111596,280.183
1783750907.131781,280.183
1783750907.151923,280.183
1783750907.172061,280.183
1783750907.192194,280.933
1783750907.212332,280.933
1783750907.232478,280.933
1783750907.252620,280.933
1783750907.272754,280.933
1783750907.292891,281.938
1783750907.313037,281.938
1783750907.333178,281.938
1783750907.353310,281.938
1783750907.373440,281.938
1783750907.393535,279.523
1783750907.413659,279.523
1783750907.433792,279.523
1783750907.453926,279.523
1783750907.474072,279.523
1783750907.494213,279.243
1783750907.514345,279.243
1783750907.534480,279.243
1783750907.554622,279.243
1783750907.574771,279.243
1783750907.594908,278.899
1783750907.615041,278.899
1783750907.635207,278.899
1783750907.655356,278.899
1783750907.675493,278.899
1783750907.695629,278.634
1783750907.715773,278.634
1783750907.735919,278.634
1783750907.756058,278.634
1783750907.776194,278.634
1783750907.796331,278.997
1783750907.816478,278.997
1783750907.836621,278.997
1783750907.856752,278.997
1783750907.876890,278.997
1783750907.897033,280.360
1783750907.917170,280.360
1783750907.937303,280.360
1783750907.957441,280.360
1783750907.977583,280.360
1783750907.997765,280.834
1783750908.017896,280.834
1783750908.038034,280.834
1783750908.058173,280.834
1783750908.078316,280.834
1783750908.098452,282.105
1783750908.118585,282.105
1783750908.138771,282.105
1783750908.158917,282.105
1783750908.179052,282.105
1783750908.199187,280.670
1783750908.219326,280.670
1783750908.239472,280.670
1783750908.259610,280.670
1783750908.279788,280.670
1783750908.299927,279.713
1783750908.320071,279.713
1783750908.340213,279.713
1783750908.360345,279.713
1783750908.380483,279.713
1783750908.400627,282.083
1783750908.420765,282.083
1783750908.440896,282.083
1783750908.461034,282.083
1783750908.481178,282.083
1783750908.501319,282.902
1783750908.521451,282.902
1783750908.541586,282.902
1783750908.561765,282.902
1783750908.581906,282.902
1783750908.602044,282.821
1783750908.622179,282.821
1783750908.642318,282.821
1783750908.662491,282.821
1783750908.682628,282.821
1783750908.702763,281.349
1783750908.722902,281.349
1783750908.743043,281.349
1783750908.763180,281.349
1783750908.783289,281.349
1783750908.803426,280.520
1783750908.823568,280.520
1783750908.843707,280.520
1783750908.863887,280.520
1783750908.884024,280.520
1783750908.904171,278.504
1783750908.924335,278.504
1783750908.944468,278.504
1783750908.964605,278.504
1783750908.984785,278.504
1783750909.004924,278.638
1783750909.025058,278.638
1783750909.045193,278.638
1783750909.065332,278.638
1783750909.085473,278.638
1783750909.105608,280.291
1783750909.125793,280.291
1783750909.145933,280.291
1783750909.166075,280.291
1783750909.186212,280.291
1783750909.206349,283.700
1783750909.226460,283.700
1783750909.246603,283.700
1783750909.266777,283.700
1783750909.286909,283.700
1783750909.307050,284.796
1783750909.327164,284.796
1783750909.347302,284.796
1783750909.367432,284.796
1783750909.387569,284.796
1783750909.407714,285.593
1783750909.427896,285.593
1783750909.448028,285.593
1783750909.468165,285.593
1783750909.488304,285.593
1783750909.508417,284.604
1783750909.528552,284.604
1783750909.548687,284.604
1783750909.568861,284.604
1783750909.589001,284.604
1783750909.609134,283.284
1783750909.629270,283.284
1783750909.649408,283.284
1783750909.669555,283.284
1783750909.689695,283.284
1783750909.709890,282.479
1783750909.730031,282.479
1783750909.750180,282.479
1783750909.770318,282.479
1783750909.790455,280.075
1783750909.810595,280.075
1783750909.830785,280.075
1783750909.850927,280.075
1783750909.871061,280.075
1783750909.891201,280.766
1783750909.911347,280.766
1783750909.931519,280.766
1783750909.951654,280.766
1783750909.971793,280.766
1783750909.991936,282.150
1783750910.012076,282.150
1783750910.032211,282.150
1783750910.052347,282.150
1783750910.072492,282.150
1783750910.092636,283.396
1783750910.112774,283.396
1783750910.132913,283.396
1783750910.153055,283.396
1783750910.173201,283.396
1783750910.193339,282.673
1783750910.213501,282.673
1783750910.233639,282.673
1783750910.253789,282.673
1783750910.273929,282.673
1783750910.294064,281.923
1783750910.314205,281.923
1783750910.334350,281.923
1783750910.354489,281.923
1783750910.374625,281.923
1783750910.394765,280.923
1783750910.414909,280.923
1783750910.435028,280.923
1783750910.455156,280.923
1783750910.475246,280.923
1783750910.495374,279.855
1783750910.515519,279.855
1783750910.535655,279.855
1783750910.555797,279.855
1783750910.575943,279.855
1783750910.596085,281.210
1783750910.616197,281.210
1783750910.636334,281.210
1783750910.656439,281.210
1783750910.676536,281.210
1783750910.696625,282.135
1783750910.716715,282.135
1783750910.736831,282.135
1783750910.756919,282.135
1783750910.776997,282.135
1783750910.797087,282.326
1783750910.817220,282.326
1783750910.837329,282.326
1783750910.857438,282.326
1783750910.877769,282.326
1783750910.897864,281.291
1783750910.917995,281.291
1783750910.938133,281.291
1783750910.958268,281.291
1783750910.978409,281.291
1783750910.998556,279.940
1783750911.018698,279.940
1783750911.038870,279.940
1783750911.059009,279.940
1783750911.079152,279.940
1783750911.099295,279.370
1783750911.119432,279.370
1783750911.139569,279.370
1783750911.159709,279.370
1783750911.179902,279.370
1783750911.200040,279.722
1783750911.220208,279.722
1783750911.240346,279.722
1783750911.260494,279.722
1783750911.280601,279.722
1783750911.300777,281.150
1783750911.320916,281.150
1783750911.341057,281.150
1783750911.361199,281.150
1783750911.381332,281.150
1783750911.401440,280.429
1783750911.421590,280.429
1783750911.441706,280.429
1783750911.461880,280.429
1783750911.482018,280.429
1783750911.502192,281.483
1783750911.522302,281.483
1783750911.542434,281.483
1783750911.562673,281.483
1783750911.582813,281.483
1783750911.602937,279.992
1783750911.623051,279.992
1783750911.643155,279.992
1783750911.663242,279.992
1783750911.683423,279.992
1783750911.703575,279.014
1783750911.723715,279.014
1783750911.743967,279.014
1783750911.764116,279.014
1783750911.784254,279.014
1783750911.804386,280.486
1783750911.824527,280.486
1783750911.844672,280.486
1783750911.864813,280.486
1783750911.884948,280.486
1783750911.905086,283.853
1783750911.925234,283.853
1783750911.945374,283.853
1783750911.965506,283.853
1783750911.985643,283.853
1783750912.005785,285.452
1783750912.025925,285.452
1783750912.046058,285.452
1783750912.066196,285.452
1783750912.086342,285.452
1783750912.106482,286.479
1783750912.126618,286.479
1783750912.146755,286.479
1783750912.166896,286.479
1783750912.187040,286.479
1783750912.207174,285.793
1783750912.227310,285.793
1783750912.247450,285.793
1783750912.267597,285.793
1783750912.287777,285.793
1783750912.307913,284.843
1783750912.328053,284.843
1783750912.348196,284.843
1783750912.368333,284.843
1783750912.388467,284.843
1783750912.408603,282.409
1783750912.428792,282.409
1783750912.448930,282.409
1783750912.469062,282.409
1783750912.489200,282.409
1783750912.509371,281.734
1783750912.529510,281.734
1783750912.549643,281.734
1783750912.569779,281.734
1783750912.589926,281.734
1783750912.610032,281.365
1783750912.630162,281.365
1783750912.650300,281.365
1783750912.670437,281.365
1783750912.690581,281.365
1783750912.710717,282.720
1783750912.730905,282.720
1783750912.751043,282.720
1783750912.771218,282.720
1783750912.791356,284.085
1783750912.811492,284.085
1783750912.831632,284.085
1783750912.851776,284.085
1783750912.871914,284.085
1783750912.892047,284.356
1783750912.912185,284.356
1783750912.932327,284.356
1783750912.952465,284.356
1783750912.972597,284.356
1783750912.992773,284.173
1783750913.012916,284.173
1783750913.033056,284.173
1783750913.053189,284.173
1783750913.073326,284.173
1783750913.093473,281.890
1783750913.113613,281.890
1783750913.133749,281.890
1783750913.153856,281.890
1783750913.173964,281.890
1783750913.194077,280.828
1783750913.214183,280.828
1783750913.234289,280.828
1783750913.254400,280.828
1783750913.274517,280.828
1783750913.294623,279.069
1783750913.314785,279.069
1783750913.334895,279.069
1783750913.355007,279.069
1783750913.375151,279.069
1783750913.395285,280.436
1783750913.415393,280.436
1783750913.435540,280.436
1783750913.455678,280.436
1783750913.475808,280.436
1783750913.495946,283.040
1783750913.516088,283.040
1783750913.536229,283.040
1783750913.556361,283.040
1783750913.576499,283.040
1783750913.596645,285.244
1783750913.616786,285.244
1783750913.636923,285.244
1783750913.657058,285.244
1783750913.677198,285.244
1783750913.697340,286.394
1783750913.717477,286.394
1783750913.737612,286.394
1783750913.757753,286.394
1783750913.777843,286.394
1783750913.797940,286.162
1783750913.818024,286.162
1783750913.838107,286.162
1783750913.858201,286.162
1783750913.878322,286.162
1783750913.898464,285.359
1783750913.918604,285.359
1783750913.938788,285.359
1783750913.958928,285.359
1783750913.979062,285.359
1783750913.999199,283.266
1783750914.019344,283.266
1783750914.039485,283.266
1783750914.059650,283.266
1783750914.079788,283.266
1783750914.099934,283.145
1783750914.120075,283.145
1783750914.140208,283.145
1783750914.160344,283.145
1783750914.180486,283.145
1783750914.200630,281.669
1783750914.220769,281.669
1783750914.240907,281.669
1783750914.261046,281.669
1783750914.281193,281.669
1783750914.301331,283.298
