sample_idx,unix_t,offset_s,gpu_power_watts
0,1783740727.936046,0.0000,63.66
1,1783740727.9606452,0.0246,63.66
2,1783740727.9807587,0.0447,63.66
3,1783740728.0008855,0.0648,63.66
4,1783740728.0210202,0.0850,63.66
5,1783740728.0411408,0.1051,63.66
6,1783740728.0612748,0.1252,63.66
7,1783740728.0814097,0.1454,63.66
8,1783740728.1015575,0.1655,63.66
9,1783740728.1216989,0.1857,63.66
10,1783740728.1418867,0.2058,63.66
11,1783740728.1620214,0.2260,63.66
12,1783740728.1821704,0.2461,63.66
13,1783740728.2023065,0.2663,63.66
14,1783740728.2224436,0.2864,63.66
15,1783740728.2425797,0.3065,63.66
16,1783740728.2627656,0.3267,63.66
17,1783740728.2829027,0.3469,63.66
18,1783740728.3030384,0.3670,63.66
19,1783740728.323176,0.3871,63.66
20,1783740728.3433135,0.4073,63.66
21,1783740728.3634493,0.4274,63.66
22,1783740728.3835828,0.4475,63.66
23,1783740728.403716,0.4677,63.66
24,1783740728.4238932,0.4878,63.66
25,1783740728.4440308,0.5080,63.66
26,1783740728.464169,0.5281,63.66
27,1783740728.4843094,0.5483,63.66
28,1783740728.5044494,0.5684,63.66
29,1783740728.524585,0.5885,63.66
30,1783740728.544721,0.6087,63.66
31,1783740728.564902,0.6289,63.66
32,1783740728.5850434,0.6490,63.66
33,1783740728.605188,0.6691,63.66
34,1783740728.6253278,0.6893,63.66
35,1783740728.6454628,0.7094,63.66
36,1783740728.6656036,0.7296,63.66
37,1783740728.685784,0.7497,63.66
38,1783740728.7059193,0.7699,63.66
39,1783740728.7260795,0.7900,63.66
40,1783740728.7462142,0.8102,63.66
41,1783740728.7663665,0.8303,63.66
42,1783740728.7865078,0.8505,63.66
43,1783740728.8066435,0.8706,63.66
44,1783740728.8267815,0.8907,63.66
45,1783740728.8469276,0.9109,63.66
46,1783740728.8670673,0.9310,63.66
47,1783740728.8872018,0.9512,63.66
48,1783740728.9073415,0.9713,63.66
49,1783740728.927488,0.9914,63.66
50,1783740728.9476259,1.0116,63.66
51,1783740728.9677699,1.0317,63.66
52,1783740728.987912,1.0519,63.66
53,1783740729.008056,1.0720,63.66
54,1783740729.0281923,1.0921,63.66
55,1783740729.0483303,1.1123,63.66
56,1783740729.0684686,1.1324,63.66
57,1783740729.0888882,1.1528,63.66
58,1783740729.1090367,1.1730,63.68
59,1783740729.1291769,1.1931,63.68
60,1783740729.1493137,1.2133,63.68
61,1783740729.169452,1.2334,63.68
62,1783740729.189597,1.2536,63.68
63,1783740729.209777,1.2737,64.967
64,1783740729.2299128,1.2939,64.967
65,1783740729.2500541,1.3140,64.967
66,1783740729.2701995,1.3342,64.967
67,1783740729.2903385,1.3543,64.967
68,1783740729.3104746,1.3744,68.072
69,1783740729.330617,1.3946,68.072
70,1783740729.3507655,1.4147,68.072
71,1783740729.3709066,1.4349,68.072
72,1783740729.3910425,1.4550,68.072
73,1783740729.4111793,1.4751,70.839
74,1783740729.4313228,1.4953,70.839
75,1783740729.4514663,1.5154,70.839
76,1783740729.4716034,1.5356,70.839
77,1783740729.4917612,1.5557,70.839
78,1783740729.5119047,1.5759,73.658
79,1783740729.532024,1.5960,73.658
80,1783740729.5521579,1.6161,73.658
81,1783740729.5722973,1.6363,73.658
82,1783740729.59244,1.6564,73.658
83,1783740729.612585,1.6765,80.526
84,1783740729.6327617,1.6967,80.526
85,1783740729.6528766,1.7168,80.526
86,1783740729.6730187,1.7370,80.526
87,1783740729.6931696,1.7571,80.526
88,1783740729.7133102,1.7773,91.533
89,1783740729.733447,1.7974,91.533
90,1783740729.7535856,1.8175,91.533
91,1783740729.773779,1.8377,91.533
92,1783740729.7938836,1.8578,91.533
93,1783740729.8140175,1.8780,103.096
94,1783740729.8341577,1.8981,103.096
95,1783740729.8542993,1.9183,103.096
96,1783740729.8744357,1.9384,103.096
97,1783740729.8945413,1.9585,103.096
98,1783740729.9146798,1.9786,114.766
99,1783740729.9348328,1.9988,114.766
100,1783740729.954975,2.0189,114.766
101,1783740729.975113,2.0391,114.766
102,1783740729.9952488,2.0592,114.766
103,1783740730.015394,2.0793,124.952
104,1783740730.035533,2.0995,124.952
105,1783740730.0556672,2.1196,124.952
106,1783740730.0758095,2.1398,124.952
107,1783740730.0959218,2.1599,124.952
108,1783740730.1160743,2.1800,134.57
109,1783740730.1362166,2.2002,134.57
110,1783740730.156356,2.2203,134.57
111,1783740730.1764977,2.2405,134.57
112,1783740730.1966367,2.2606,146.232
113,1783740730.2167764,2.2807,146.232
114,1783740730.2369134,2.3009,146.232
115,1783740730.2570558,2.3210,146.232
116,1783740730.2772088,2.3412,146.232
117,1783740730.2973464,2.3613,152.956
118,1783740730.3174818,2.3814,152.956
119,1783740730.3376245,2.4016,152.956
120,1783740730.3577738,2.4217,152.956
121,1783740730.3779132,2.4419,152.956
122,1783740730.3980484,2.4620,160.894
123,1783740730.4181855,2.4821,160.894
124,1783740730.4383333,2.5023,160.894
125,1783740730.458477,2.5224,160.894
126,1783740730.4786117,2.5426,160.894
127,1783740730.4987917,2.5627,171.028
128,1783740730.5189369,2.5829,171.028
129,1783740730.5391014,2.6031,171.028
130,1783740730.5592325,2.6232,171.028
131,1783740730.5793717,2.6433,171.028
132,1783740730.5995083,2.6635,175.045
133,1783740730.619643,2.6836,175.045
134,1783740730.6397805,2.7037,175.045
135,1783740730.6599183,2.7239,175.045
136,1783740730.6800563,2.7440,175.045
137,1783740730.700192,2.7641,175.487
138,1783740730.7203248,2.7843,175.487
139,1783740730.7404609,2.8044,175.487
140,1783740730.760602,2.8246,175.487
141,1783740730.780758,2.8447,175.487
142,1783740730.800895,2.8648,175.804
143,1783740730.8210287,2.8850,175.804
144,1783740730.841194,2.9051,175.804
145,1783740730.8613353,2.9253,175.804
146,1783740730.88147,2.9454,175.804
147,1783740730.9016068,2.9656,175.488
148,1783740730.9217818,2.9857,175.488
149,1783740730.9419315,3.0059,175.488
150,1783740730.962077,3.0260,175.488
151,1783740730.9822123,3.0462,175.488
152,1783740731.0023537,3.0663,176.161
153,1783740731.022499,3.0865,176.161
154,1783740731.0426404,3.1066,176.161
155,1783740731.062774,3.1267,176.161
156,1783740731.0829153,3.1469,176.161
157,1783740731.103059,3.1670,176.666
158,1783740731.1232083,3.1872,176.666
159,1783740731.1433473,3.2073,176.666
160,1783740731.1634874,3.2274,176.666
161,1783740731.1836295,3.2476,176.666
162,1783740731.2037697,3.2677,175.905
163,1783740731.2239087,3.2879,175.905
164,1783740731.2440436,3.3080,175.905
165,1783740731.2641878,3.3281,175.905
166,1783740731.284354,3.3483,175.905
167,1783740731.3044922,3.3684,176.446
168,1783740731.3246274,3.3886,176.446
169,1783740731.3447657,3.4087,176.446
170,1783740731.364916,3.4289,176.446
171,1783740731.385056,3.4490,176.446
172,1783740731.405192,3.4691,176.891
173,1783740731.4253309,3.4893,176.891
174,1783740731.4454832,3.5094,176.891
175,1783740731.4656284,3.5296,176.891
176,1783740731.4857666,3.5497,176.891
177,1783740731.5059085,3.5699,176.726
178,1783740731.5260508,3.5900,176.726
179,1783740731.5461936,3.6101,176.726
180,1783740731.5663283,3.6303,176.726
181,1783740731.5864694,3.6504,176.726
182,1783740731.606615,3.6706,177.2
183,1783740731.6267567,3.6907,177.2
184,1783740731.6468945,3.7108,177.2
185,1783740731.6670349,3.7310,177.2
186,1783740731.687178,3.7511,177.2
187,1783740731.70732,3.7713,176.999
188,1783740731.7274628,3.7914,176.999
189,1783740731.747599,3.8116,176.999
190,1783740731.7677777,3.8317,176.999
191,1783740731.7879329,3.8519,176.999
192,1783740731.8080766,3.8720,176.825
193,1783740731.8282127,3.8922,176.825
194,1783740731.8483539,3.9123,176.825
195,1783740731.8685005,3.9325,176.825
196,1783740731.888641,3.9526,176.825
197,1783740731.90878,3.9727,177.071
198,1783740731.9289215,3.9929,177.071
199,1783740731.9490712,4.0130,177.071
200,1783740731.9692178,4.0332,177.071
201,1783740731.989354,4.0533,177.071
202,1783740732.0094943,4.0734,177.298
203,1783740732.029636,4.0936,177.298
