sample_idx,unix_t,offset_s,gpu_power_watts
0,1783740050.13066,0.0000,149.382
1,1783740050.1507683,0.0201,149.382
2,1783740050.1708727,0.0402,149.382
3,1783740050.1909945,0.0603,149.382
4,1783740050.2111328,0.0805,149.382
5,1783740050.2312665,0.1006,142.324
6,1783740050.2514017,0.1207,142.324
7,1783740050.2715414,0.1409,142.324
8,1783740050.2916906,0.1610,142.324
9,1783740050.3118393,0.1812,142.324
10,1783740050.3319774,0.2013,134.383
11,1783740050.35212,0.2215,134.383
12,1783740050.3722672,0.2416,134.383
13,1783740050.3924208,0.2618,134.383
14,1783740050.412562,0.2819,134.383
15,1783740050.4327052,0.3020,126.501
16,1783740050.4529006,0.3222,126.501
17,1783740050.47305,0.3424,126.501
18,1783740050.4931946,0.3625,126.501
19,1783740050.5133336,0.3827,126.501
20,1783740050.53348,0.4028,118.773
21,1783740050.5536125,0.4230,118.773
22,1783740050.5737536,0.4431,118.773
23,1783740050.5938928,0.4632,118.773
24,1783740050.6140368,0.4834,118.773
25,1783740050.6341934,0.5035,110.117
26,1783740050.6543345,0.5237,110.117
27,1783740050.6744742,0.5438,110.117
28,1783740050.6946192,0.5640,110.117
29,1783740050.7147744,0.5841,110.117
30,1783740050.734894,0.6042,100.276
31,1783740050.7549849,0.6243,100.276
32,1783740050.775109,0.6444,100.276
33,1783740050.7952664,0.6646,100.276
34,1783740050.8154168,0.6848,100.276
35,1783740050.8355565,0.7049,98.401
36,1783740050.8557022,0.7250,98.401
37,1783740050.8758993,0.7452,98.401
38,1783740050.8960469,0.7654,98.401
39,1783740050.9161894,0.7855,98.401
40,1783740050.9363337,0.8057,105.049
41,1783740050.956483,0.8258,105.049
42,1783740050.9766328,0.8460,105.049
43,1783740050.996774,0.8661,105.049
44,1783740051.0169163,0.8863,105.049
45,1783740051.0370617,0.9064,112.372
46,1783740051.057201,0.9265,112.372
47,1783740051.0773425,0.9467,112.372
48,1783740051.0974805,0.9668,112.372
49,1783740051.1176243,0.9870,112.372
50,1783740051.1377811,1.0071,119.104
51,1783740051.157925,1.0273,119.104
52,1783740051.1780665,1.0474,119.104
53,1783740051.1982074,1.0675,119.104
54,1783740051.2183592,1.0877,119.104
55,1783740051.2385066,1.1078,126.179
56,1783740051.2586448,1.1280,126.179
57,1783740051.2787888,1.1481,126.179
58,1783740051.2989435,1.1683,126.179
59,1783740051.3190923,1.1884,126.179
60,1783740051.3392305,1.2086,134.067
61,1783740051.3593738,1.2287,134.067
62,1783740051.379524,1.2489,134.067
63,1783740051.3996735,1.2690,134.067
64,1783740051.419815,1.2892,134.067
65,1783740051.4399579,1.3093,141.145
66,1783740051.4601076,1.3294,141.145
67,1783740051.4802613,1.3496,141.145
68,1783740051.500402,1.3697,141.145
69,1783740051.5205452,1.3899,141.145
70,1783740051.5406857,1.4100,147.544
71,1783740051.5608416,1.4302,147.544
72,1783740051.5809836,1.4503,147.544
