sample_idx,unix_t,offset_s,gpu_power_watts
0,1783740038.0101986,0.0000,63.622
1,1783740038.034904,0.0247,63.622
2,1783740038.055038,0.0448,63.622
3,1783740038.075158,0.0650,63.622
4,1783740038.0952752,0.0851,63.622
5,1783740038.1154,0.1052,63.622
6,1783740038.135553,0.1254,63.622
7,1783740038.1556907,0.1455,63.622
8,1783740038.175883,0.1657,63.622
9,1783740038.1960256,0.1858,63.622
10,1783740038.2161748,0.2060,63.622
11,1783740038.2363203,0.2261,63.622
12,1783740038.25646,0.2463,63.622
13,1783740038.2766008,0.2664,63.622
14,1783740038.2967598,0.2866,63.622
15,1783740038.316903,0.3067,63.622
16,1783740038.337039,0.3268,63.622
17,1783740038.3571832,0.3470,63.622
18,1783740038.3773353,0.3671,63.622
19,1783740038.397488,0.3873,63.622
20,1783740038.4176254,0.4074,63.622
21,1783740038.4377694,0.4276,63.622
22,1783740038.4579196,0.4477,63.622
23,1783740038.4780731,0.4679,63.622
24,1783740038.4982135,0.4880,63.622
25,1783740038.5183554,0.5082,63.622
26,1783740038.5385003,0.5283,63.622
27,1783740038.5586503,0.5485,63.622
28,1783740038.5787935,0.5686,63.622
29,1783740038.5989327,0.5887,63.622
30,1783740038.6190722,0.6089,63.622
31,1783740038.6392298,0.6290,63.622
32,1783740038.6593738,0.6492,63.622
33,1783740038.679515,0.6693,63.641
34,1783740038.6996608,0.6895,63.641
35,1783740038.7198102,0.7096,63.641
36,1783740038.7399554,0.7298,63.641
37,1783740038.7600944,0.7499,63.641
38,1783740038.780237,0.7700,63.661
39,1783740038.8003912,0.7902,63.661
40,1783740038.820535,0.8103,63.661
41,1783740038.8406744,0.8305,63.661
42,1783740038.8608165,0.8506,63.661
43,1783740038.880968,0.8708,63.66
44,1783740038.9011161,0.8909,63.66
45,1783740038.9212556,0.9111,63.66
46,1783740038.9414246,0.9312,63.66
47,1783740038.9615724,0.9514,63.66
48,1783740038.9817703,0.9716,63.66
49,1783740039.0019064,0.9917,63.66
50,1783740039.0220473,1.0118,63.66
51,1783740039.042191,1.0320,63.66
52,1783740039.0623376,1.0521,63.66
53,1783740039.0824804,1.0723,63.66
54,1783740039.1026216,1.0924,63.66
55,1783740039.1227622,1.1126,63.66
56,1783740039.1429114,1.1327,63.66
57,1783740039.1630573,1.1529,63.66
58,1783740039.1831968,1.1730,63.66
59,1783740039.2033398,1.1931,63.66
60,1783740039.223491,1.2133,63.67
61,1783740039.2436311,1.2334,63.67
62,1783740039.2637706,1.2536,63.67
63,1783740039.2839127,1.2737,63.67
64,1783740039.3040643,1.2939,63.67
65,1783740039.324213,1.3140,64.693
66,1783740039.344351,1.3342,64.693
67,1783740039.3644958,1.3543,64.693
68,1783740039.3846471,1.3744,64.693
69,1783740039.4047952,1.3946,64.693
70,1783740039.4249318,1.4147,67.88
71,1783740039.445075,1.4349,67.88
72,1783740039.4652233,1.4550,67.88
73,1783740039.4853752,1.4752,67.88
74,1783740039.5055122,1.4953,67.88
75,1783740039.5256538,1.5155,70.747
76,1783740039.5457976,1.5356,70.747
77,1783740039.5659554,1.5558,70.747
78,1783740039.5860987,1.5759,70.747
79,1783740039.6062376,1.5960,70.747
80,1783740039.626413,1.6162,73.393
81,1783740039.646562,1.6364,73.393
82,1783740039.6667056,1.6565,73.393
83,1783740039.686889,1.6767,73.393
84,1783740039.7070343,1.6968,73.393
85,1783740039.7271907,1.7170,79.336
86,1783740039.7473364,1.7371,79.336
87,1783740039.7674778,1.7573,79.336
88,1783740039.7876205,1.7774,79.336
89,1783740039.8077815,1.7976,79.336
90,1783740039.8279285,1.8177,90.437
91,1783740039.8480673,1.8379,90.437
92,1783740039.8682122,1.8580,90.437
93,1783740039.888367,1.8782,90.437
94,1783740039.9085145,1.8983,90.437
95,1783740039.9286535,1.9185,101.57
96,1783740039.9487977,1.9386,101.57
97,1783740039.968946,1.9587,101.57
98,1783740039.9890954,1.9789,101.57
99,1783740040.009234,1.9990,101.57
100,1783740040.0293763,2.0192,112.468
101,1783740040.0495217,2.0393,112.468
102,1783740040.0696678,2.0595,112.468
103,1783740040.0898073,2.0796,112.468
104,1783740040.1099463,2.0997,112.468
105,1783740040.1300893,2.1199,123.8
106,1783740040.150245,2.1400,123.8
107,1783740040.170389,2.1602,123.8
108,1783740040.1905293,2.1803,123.8
109,1783740040.210703,2.2005,123.8
110,1783740040.2309015,2.2207,135.966
111,1783740040.2510448,2.2408,135.966
112,1783740040.2711823,2.2610,135.966
113,1783740040.2913244,2.2811,135.966
114,1783740040.3114786,2.3013,135.966
115,1783740040.331624,2.3214,146.292
116,1783740040.351769,2.3416,146.292
117,1783740040.3719125,2.3617,146.292
118,1783740040.3920674,2.3819,146.292
119,1783740040.4122148,2.4020,146.292
120,1783740040.432354,2.4222,154.519
121,1783740040.452499,2.4423,154.519
122,1783740040.4726462,2.4624,154.519
123,1783740040.492799,2.4826,154.519
124,1783740040.512939,2.5027,154.519
125,1783740040.5330818,2.5229,161.595
126,1783740040.5532305,2.5430,161.595
127,1783740040.5733798,2.5632,161.595
128,1783740040.5935245,2.5833,161.595
129,1783740040.613692,2.6035,161.595
130,1783740040.6339123,2.6237,169.958
131,1783740040.6540656,2.6439,169.958
132,1783740040.67421,2.6640,169.958
133,1783740040.6943486,2.6841,169.958
134,1783740040.7144918,2.7043,169.958
135,1783740040.734647,2.7244,176.877
136,1783740040.7547934,2.7446,176.877
137,1783740040.7749314,2.7647,176.877
138,1783740040.7950768,2.7849,176.877
139,1783740040.815231,2.8050,176.877
140,1783740040.835378,2.8252,176.531
141,1783740040.8555167,2.8453,176.531
142,1783740040.8756547,2.8655,176.531
143,1783740040.8958235,2.8856,176.531
144,1783740040.9159718,2.9058,176.531
145,1783740040.936109,2.9259,176.827
146,1783740040.9562528,2.9461,176.827
147,1783740040.976403,2.9662,176.827
148,1783740040.9965477,2.9863,176.827
149,1783740041.016689,3.0065,176.827
150,1783740041.0368292,3.0266,176.924
151,1783740041.0569742,3.0468,176.924
152,1783740041.0771275,3.0669,176.924
153,1783740041.0972693,3.0871,176.924
154,1783740041.1174088,3.1072,176.924
155,1783740041.1375544,3.1274,176.065
156,1783740041.157707,3.1475,176.065
157,1783740041.1778991,3.1677,176.065
158,1783740041.1980364,3.1878,176.065
159,1783740041.2181754,3.2080,176.065
160,1783740041.2383218,3.2281,176.378
161,1783740041.258465,3.2483,176.378
162,1783740041.278605,3.2684,176.378
163,1783740041.298751,3.2886,176.378
164,1783740041.318896,3.3087,176.378
165,1783740041.339041,3.3288,176.354
166,1783740041.3591807,3.3490,176.354
167,1783740041.3793218,3.3691,176.354
168,1783740041.3994744,3.3893,176.354
169,1783740041.4196193,3.4094,175.941
170,1783740041.439758,3.4296,175.941
171,1783740041.4599023,3.4497,175.941
172,1783740041.4800782,3.4699,175.941
173,1783740041.5001905,3.4900,175.941
174,1783740041.5203233,3.5101,176.046
175,1783740041.5404665,3.5303,176.046
176,1783740041.5606148,3.5504,176.046
177,1783740041.5807602,3.5706,176.046
178,1783740041.600899,3.5907,176.046
179,1783740041.6210387,3.6108,175.967
180,1783740041.641186,3.6310,175.967
181,1783740041.6613443,3.6511,175.967
182,1783740041.6814864,3.6713,175.967
183,1783740041.7016249,3.6914,175.967
184,1783740041.7217674,3.7116,176.222
185,1783740041.741915,3.7317,176.222
186,1783740041.7620578,3.7519,176.222
187,1783740041.7821984,3.7720,176.222
188,1783740041.8023407,3.7921,176.222
189,1783740041.8224876,3.8123,176.192
190,1783740041.842598,3.8324,176.192
191,1783740041.8627696,3.8526,176.192
192,1783740041.8829088,3.8727,176.192
193,1783740041.9030635,3.8929,176.192
194,1783740041.9232059,3.9130,175.985
195,1783740041.943344,3.9331,175.985
196,1783740041.963489,3.9533,175.985
197,1783740041.983638,3.9734,175.985
198,1783740042.0037816,3.9936,175.985
199,1783740042.023886,4.0137,176.042
200,1783740042.044034,4.0338,176.042
201,1783740042.064184,4.0540,176.042
202,1783740042.084297,4.0741,176.042
203,1783740042.1044095,4.0942,176.042
204,1783740042.1245167,4.1143,177.056
205,1783740042.144615,4.1344,177.056
206,1783740042.1647983,4.1546,177.056
207,1783740042.1849735,4.1748,177.056
208,1783740042.205114,4.1949,177.056
209,1783740042.2252572,4.2151,177.044
210,1783740042.2454033,4.2352,177.044
211,1783740042.2655425,4.2553,177.044
212,1783740042.2856827,4.2755,177.044
213,1783740042.305827,4.2956,177.044
214,1783740042.3259728,4.3158,176.833
215,1783740042.3462644,4.3361,176.833
216,1783740042.3664029,4.3562,176.833
217,1783740042.3865457,4.3763,176.833
218,1783740042.406699,4.3965,176.833
219,1783740042.4268875,4.4167,177.14
220,1783740042.447027,4.4368,177.14
221,1783740042.4671707,4.4570,177.14
222,1783740042.487322,4.4771,177.14
223,1783740042.5074663,4.4973,177.14
224,1783740042.5276027,4.5174,177.361
225,1783740042.547797,4.5376,177.361
226,1783740042.5679457,4.5577,177.361
227,1783740042.588098,4.5779,177.361
228,1783740042.6082368,4.5980,177.361
229,1783740042.6283762,4.6182,177.248
230,1783740042.648521,4.6383,177.248
231,1783740042.668673,4.6585,177.248
232,1783740042.6888175,4.6786,177.248
233,1783740042.7089572,4.6988,177.248
234,1783740042.729098,4.7189,177.503
235,1783740042.7492552,4.7391,177.503
236,1783740042.7694285,4.7592,177.503
237,1783740042.7895691,4.7794,177.503
238,1783740042.8097134,4.7995,177.503
239,1783740042.8299165,4.8197,177.54
240,1783740042.8500621,4.8399,177.54
241,1783740042.8702028,4.8600,177.54
242,1783740042.8903444,4.8801,177.54
243,1783740042.9104946,4.9003,177.54
244,1783740042.9306347,4.9204,177.743
245,1783740042.9507787,4.9406,177.743
246,1783740042.9709191,4.9607,177.743
247,1783740042.9910696,4.9809,177.743
248,1783740043.0112147,5.0010,177.743
249,1783740043.0313532,5.0212,177.537
250,1783740043.0514965,5.0413,177.537
251,1783740043.0716462,5.0614,177.537
252,1783740043.0917976,5.0816,177.537
253,1783740043.111937,5.1017,177.537
254,1783740043.132077,5.1219,177.323
255,1783740043.1522236,5.1420,177.323
256,1783740043.1723795,5.1622,177.323
257,1783740043.1925218,5.1823,177.323
258,1783740043.2126617,5.2025,177.323
259,1783740043.2328033,5.2226,177.395
260,1783740043.2529552,5.2428,177.395
261,1783740043.2730958,5.2629,177.395
262,1783740043.2932358,5.2830,177.395
263,1783740043.3133764,5.3032,177.395
264,1783740043.3335257,5.3233,177.511
265,1783740043.3536673,5.3435,177.511
266,1783740043.3738062,5.3636,177.511
267,1783740043.3939476,5.3837,177.511
268,1783740043.4140987,5.4039,177.511
269,1783740043.4342444,5.4240,177.36
270,1783740043.4543839,5.4442,177.36
271,1783740043.474529,5.4643,177.36
272,1783740043.4946804,5.4845,177.36
273,1783740043.514826,5.5046,177.36
274,1783740043.534964,5.5248,176.857
275,1783740043.555107,5.5449,176.857
276,1783740043.575251,5.5651,176.857
277,1783740043.5953913,5.5852,176.857
278,1783740043.6155288,5.6053,176.857
279,1783740043.635696,5.6255,176.556
280,1783740043.655888,5.6457,176.556
281,1783740043.676042,5.6658,176.556
282,1783740043.6961844,5.6860,176.556
283,1783740043.7163243,5.7061,176.556
284,1783740043.7364674,5.7263,176.569
285,1783740043.7566223,5.7464,176.569
286,1783740043.776769,5.7666,176.569
287,1783740043.7969081,5.7867,176.569
288,1783740043.8170512,5.8069,176.569
289,1783740043.8372052,5.8270,176.959
290,1783740043.8573508,5.8472,176.959
291,1783740043.8774908,5.8673,176.959
292,1783740043.897633,5.8874,176.959
293,1783740043.917789,5.9076,176.959
294,1783740043.9379325,5.9277,177.009
295,1783740043.95807,5.9479,177.009
296,1783740043.9782162,5.9680,177.009
297,1783740043.9983644,5.9882,177.009
298,1783740044.0185108,6.0083,177.009
299,1783740044.0386496,6.0285,177.066
300,1783740044.058819,6.0486,177.066
301,1783740044.0789633,6.0688,177.066
302,1783740044.0991197,6.0889,177.066
303,1783740044.1192565,6.1091,177.066
304,1783740044.1393785,6.1292,177.365
305,1783740044.1594903,6.1493,177.365
306,1783740044.1796472,6.1694,177.365
307,1783740044.1997864,6.1896,177.365
308,1783740044.2199268,6.2097,177.365
309,1783740044.240073,6.2299,176.951
310,1783740044.260227,6.2500,176.951
311,1783740044.2803683,6.2702,176.951
312,1783740044.3005092,6.2903,176.951
313,1783740044.3206525,6.3105,177.102
314,1783740044.3408089,6.3306,177.102
315,1783740044.360956,6.3508,177.102
316,1783740044.381095,6.3709,177.102
317,1783740044.401236,6.3910,177.102
318,1783740044.4213877,6.4112,177.465
319,1783740044.441529,6.4313,177.465
320,1783740044.4616632,6.4515,177.465
321,1783740044.4818065,6.4716,177.465
322,1783740044.5019193,6.4917,177.465
323,1783740044.5220647,6.5119,177.768
324,1783740044.5422044,6.5320,177.768
325,1783740044.562346,6.5521,177.768
326,1783740044.582495,6.5723,177.768
327,1783740044.602649,6.5925,177.768
328,1783740044.6227894,6.6126,177.744
329,1783740044.6429322,6.6327,177.744
330,1783740044.6630797,6.6529,177.744
331,1783740044.6832345,6.6730,177.744
332,1783740044.7033777,6.6932,177.744
333,1783740044.7235172,6.7133,178.022
334,1783740044.7436633,6.7335,178.022
335,1783740044.76382,6.7536,178.022
336,1783740044.7839634,6.7738,178.022
337,1783740044.8041024,6.7939,178.022
338,1783740044.8242457,6.8140,178.013
339,1783740044.8443959,6.8342,178.013
340,1783740044.8645391,6.8543,178.013
341,1783740044.8846784,6.8745,178.013
342,1783740044.9048193,6.8946,178.013
343,1783740044.924991,6.9148,177.73
344,1783740044.9451323,6.9349,177.73
345,1783740044.9652712,6.9551,177.73
346,1783740044.9854138,6.9752,177.73
347,1783740045.005564,6.9954,177.73
348,1783740045.0257108,7.0155,177.949
349,1783740045.0459027,7.0357,177.949
350,1783740045.0660443,7.0558,177.949
351,1783740045.0861933,7.0760,177.949
352,1783740045.1063437,7.0961,177.949
353,1783740045.1264796,7.1163,177.936
354,1783740045.146622,7.1364,177.936
355,1783740045.1667871,7.1566,177.936
356,1783740045.186938,7.1767,177.936
357,1783740045.2070773,7.1969,177.936
358,1783740045.2272153,7.2170,178.052
359,1783740045.2473607,7.2372,178.052
360,1783740045.2675056,7.2573,178.052
361,1783740045.2876484,7.2774,178.052
362,1783740045.3077893,7.2976,178.052
363,1783740045.3279295,7.3177,177.973
364,1783740045.3481123,7.3379,177.973
365,1783740045.3682518,7.3581,177.973
366,1783740045.3883893,7.3782,177.973
367,1783740045.4085317,7.3983,177.973
368,1783740045.428677,7.4185,177.954
369,1783740045.4488218,7.4386,177.954
370,1783740045.4689584,7.4588,177.954
371,1783740045.4891021,7.4789,177.954
372,1783740045.5092537,7.4991,177.954
373,1783740045.5293953,7.5192,178.047
374,1783740045.5495334,7.5393,178.047
375,1783740045.5696774,7.5595,178.047
376,1783740045.5898237,7.5796,178.047
377,1783740045.609972,7.5998,178.047
378,1783740045.6301088,7.6199,178.191
379,1783740045.650251,7.6401,178.191
380,1783740045.6703956,7.6602,178.191
381,1783740045.6905491,7.6804,178.191
382,1783740045.7106905,7.7005,178.191
383,1783740045.7308562,7.7207,178.417
384,1783740045.7510016,7.7408,178.417
385,1783740045.7711544,7.7610,178.417
386,1783740045.7912974,7.7811,178.417
387,1783740045.8114367,7.8012,178.417
388,1783740045.8315768,7.8214,178.228
389,1783740045.8517823,7.8416,178.228
390,1783740045.8719301,7.8617,178.228
391,1783740045.8920696,7.8819,178.228
392,1783740045.9122148,7.9020,178.228
393,1783740045.9323628,7.9222,178.167
394,1783740045.9525063,7.9423,178.167
395,1783740045.9726446,7.9624,178.167
396,1783740045.9927876,7.9826,178.167
397,1783740046.012941,8.0027,178.167
398,1783740046.0330868,8.0229,177.437
399,1783740046.053223,8.0430,177.437
400,1783740046.073365,8.0632,177.437
401,1783740046.093515,8.0833,177.437
402,1783740046.113665,8.1035,177.437
403,1783740046.1338022,8.1236,177.819
404,1783740046.1539226,8.1437,177.819
405,1783740046.1740685,8.1639,177.819
406,1783740046.194247,8.1840,177.819
407,1783740046.214387,8.2042,177.819
408,1783740046.2345247,8.2243,177.687
409,1783740046.2546685,8.2445,177.687
410,1783740046.2748246,8.2646,177.687
411,1783740046.2949696,8.2848,177.687
412,1783740046.3151057,8.3049,177.687
413,1783740046.3352468,8.3250,177.676
414,1783740046.355402,8.3452,177.676
415,1783740046.3755465,8.3653,177.676
416,1783740046.3956869,8.3855,177.676
417,1783740046.41583,8.4056,177.676
418,1783740046.435981,8.4258,177.914
419,1783740046.4561272,8.4459,177.914
420,1783740046.4762661,8.4661,177.914
421,1783740046.4964066,8.4862,177.914
422,1783740046.5165603,8.5064,177.914
423,1783740046.536705,8.5265,177.434
424,1783740046.556885,8.5467,177.434
425,1783740046.577027,8.5668,177.434
426,1783740046.5971737,8.5870,177.434
427,1783740046.617356,8.6072,177.434
428,1783740046.6374915,8.6273,177.783
429,1783740046.6576343,8.6474,177.783
430,1783740046.6777842,8.6676,177.783
431,1783740046.69794,8.6877,177.783
432,1783740046.7180786,8.7079,177.783
433,1783740046.738219,8.7280,177.413
434,1783740046.7583447,8.7481,177.413
435,1783740046.7785027,8.7683,177.413
436,1783740046.7986445,8.7884,177.413
437,1783740046.8187835,8.8086,177.413
438,1783740046.838927,8.8287,177.706
439,1783740046.859084,8.8489,177.706
440,1783740046.8792267,8.8690,177.706
441,1783740046.8993664,8.8892,177.706
442,1783740046.9195075,8.9093,177.706
443,1783740046.9396548,8.9295,177.737
444,1783740046.9597983,8.9496,177.737
445,1783740046.979936,8.9697,177.737
446,1783740047.0000749,8.9899,177.737
447,1783740047.0202293,9.0100,177.737
448,1783740047.0403757,9.0302,178.277
449,1783740047.0605135,9.0503,178.277
450,1783740047.0806587,9.0705,178.277
451,1783740047.1008065,9.0906,178.277
452,1783740047.1209574,9.1108,178.277
453,1783740047.1410954,9.1309,177.73
454,1783740047.1612349,9.1510,177.73
455,1783740047.1813836,9.1712,177.73
456,1783740047.201538,9.1913,177.73
457,1783740047.2216783,9.2115,177.827
458,1783740047.2418187,9.2316,177.827
459,1783740047.2619598,9.2518,177.827
460,1783740047.2821116,9.2719,177.827
461,1783740047.3022552,9.2921,177.827
462,1783740047.3223934,9.3122,178.146
463,1783740047.342535,9.3323,178.146
464,1783740047.3626964,9.3525,178.146
465,1783740047.3828895,9.3727,178.146
466,1783740047.4030285,9.3928,178.146
467,1783740047.4231734,9.4130,177.696
468,1783740047.4433262,9.4331,177.696
469,1783740047.463472,9.4533,177.696
470,1783740047.4836361,9.4734,177.696
471,1783740047.5037506,9.4936,177.696
472,1783740047.5239005,9.5137,177.796
